Quarter,Time,Down,ToGo,Location,IND,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Adam Vinatieri kicks off 67 yards, returned by Miles Austin for 31 yards (tackle by Dexter Reid)",0.000,1.200
1,14:53,1,10,DAL 34,0,0,Tony Romo pass complete short right to Julius Jones for 4 yards (tackle by Anthony McFarland),1.200,1.200
1,14:07,2,6,DAL 38,0,0,Julius Jones middle for 12 yards (tackle by Robert Mathis),1.200,2.260
1,13:19,1,10,IND 50,0,0,Julius Jones middle for 1 yard (tackle by Dwight Freeney),2.260,1.850
1,12:40,2,9,IND 49,0,0,Julius Jones middle for 1 yard (tackle by Cato June),1.850,1.290
1,11:55,3,8,IND 48,0,0,"Tony Romo sacked by Dwight Freeney for -6 yards. Tony Romo fumbles (forced by Dwight Freeney), recovered by Cato June at IND-49 (tackle by Marion Barber)",1.290,-2.190
1,11:47,1,10,IND 49,0,0,Dominic Rhodes right end for -5 yards (tackle by Bradie James),2.190,0.970
1,11:12,2,15,IND 44,0,0,"Peyton Manning pass complete to Marvin Harrison for 4 yards (tackle by Bradie James). Marvin Harrison fumbles (forced by Bradie James), recovered by Jay Ratliff at IND-48",0.970,-2.390
1,11:04,1,10,IND 48,0,0,Julius Jones left tackle for -1 yards (tackle by Anthony McFarland),2.390,1.710
1,10:25,2,11,IND 49,0,0,Tony Romo pass incomplete short left intended for Sam Hurd,1.710,1.030
1,10:21,3,11,IND 49,0,0,Tony Romo pass complete short right to Patrick Crayton for 2 yards (tackle by Nick Harper),1.030,0.130
1,9:41,4,9,IND 47,0,0,"Mat McBriar punts 36 yards, fair catch by Terrence Wilkins",0.130,0.370
1,9:37,1,10,IND 11,0,0,Peyton Manning pass complete short right to Dominic Rhodes for 9 yards (tackle by Bradie James),-0.370,0.360
1,9:05,2,1,IND 20,0,0,Dominic Rhodes right end for 2 yards (tackle by Marcus Spears),0.360,0.410
1,8:21,1,10,IND 22,0,0,"Peyton Manning sacked by DeMarcus Ware for -10 yards. Peyton Manning fumbles (forced by DeMarcus Ware), recovered by Tarik Glenn at IND-15",0.410,-1.210
1,7:36,2,17,IND 15,0,0,Peyton Manning pass complete short left to Ben Utecht for 12 yards (tackle by Bradie James),-1.210,-0.160
1,7:05,3,5,IND 27,0,0,Peyton Manning middle for 8 yards,-0.160,1.270
1,6:24,1,10,IND 35,0,0,Dominic Rhodes right end for -1 yards (tackle by Terence Newman),1.270,0.590
1,5:46,2,11,IND 34,0,0,Peyton Manning pass complete short left to Reggie Wayne for 13 yards (tackle by Anthony Henry and Keith Davis),0.590,2.060
1,5:06,1,10,IND 47,0,0,"Peyton Manning pass incomplete intended for Ben Utecht. Penalty on Terence Newman: Illegal Contact, 5 yards (no play)",2.060,2.390
1,5:02,1,10,DAL 48,0,0,Dominic Rhodes left tackle for 2 yards (tackle by Chris Canty),2.390,2.120
1,4:24,2,8,DAL 46,0,0,"Peyton Manning sacked by Jay Ratliff for -7 yards. Peyton Manning fumbles (forced by Jay Ratliff), recovered by Bradie James at DAL-43",2.120,-1.800
,,,,,,,"IND challenged the ruling, and the play was upheld.",,
1,4:13,1,10,DAL 43,0,0,Julius Jones left tackle for 2 yards (tackle by Gilbert Gardner and Rob Morris),1.800,1.520
1,3:34,2,8,DAL 45,0,0,Tony Romo pass complete short middle to Jason Witten for 10 yards (tackle by Rob Morris and Cato June),1.520,2.590
1,2:49,1,10,IND 45,0,0,"Julius Jones left tackle for 9 yards (tackle by Jason David). Penalty on Raheem Brock: Defensive Holding, 5 yards",2.590,3.510
1,2:19,1,10,IND 31,0,0,Tony Romo pass incomplete deep right intended for Terry Glenn is intercepted by Nick Harper at IND-9 and returned for -5 yards,3.510,0.380
1,2:12,1,10,IND 4,0,0,Joseph Addai right end for 1 yard (tackle by Akin Ayodele),-0.380,-0.710
1,1:36,2,9,IND 5,0,0,Peyton Manning pass incomplete intended for Reggie Wayne,-0.710,-1.300
1,1:29,3,9,IND 5,0,0,Peyton Manning pass complete short right to Marvin Harrison for 8 yards (tackle by Aaron Glenn),-1.300,-2.490
1,0:45,4,1,IND 13,0,0,"Hunter Smith punts 36 yards, returned by Terence Newman for no gain",-2.490,-2.320
1,0:45,1,10,IND 49,0,0,Julius Jones left tackle for 3 yards (tackle by Cato June),2.320,2.190
Quarter,Time,Down,ToGo,Location,IND,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,IND 46,0,0,Tony Romo pass complete short middle to Julius Jones for 6 yards (tackle by Rob Morris and Antoine Bethea),2.190,2.280
2,14:14,3,1,IND 40,0,0,Tony Romo pass complete short right to Jason Witten for 11 yards (tackle by Gilbert Gardner),2.280,3.640
2,13:24,1,10,IND 29,0,0,Julius Jones middle for no gain (tackle by Antoine Bethea),3.640,3.100
2,12:39,2,10,IND 29,0,0,Julius Jones middle for no gain (tackle by Kelvin Hayden and Cato June),3.100,2.410
2,11:51,3,10,IND 29,0,0,Tony Romo pass complete short right to Jason Witten for 4 yards (tackle by Kelvin Hayden),2.410,1.830
2,11:16,4,6,IND 25,0,0,Mike Vanderjagt 43 yard field goal no good,1.830,-1.140
2,11:12,1,10,IND 33,0,0,"Peyton Manning pass complete short right to Marvin Harrison for 16 yards (tackle by Aaron Glenn). Penalty on Marcus Spears: Roughing the Passer, 15 yards",1.140,3.180
2,10:56,1,10,DAL 36,0,0,Joseph Addai right end for 17 yards (tackle by Bobby Carpenter),3.180,4.310
2,10:21,1,10,DAL 19,0,0,Joseph Addai right end for 3 yards (tackle by Akin Ayodele),4.310,4.180
2,9:57,2,7,DAL 16,0,0,"Joseph Addai middle for 6 yards (tackle by Jay Ratliff). Penalty on Jay Ratliff: Defensive 12 On-field, 5 yards, Penalty on Jay Ratliff: Defensive Offside (Declined) (no play)",4.180,5.140
2,9:48,2,2,DAL 11,0,0,Joseph Addai middle for 6 yards (tackle by Akin Ayodele),5.140,6.060
2,9:11,1,5,DAL 5,0,0,Joseph Addai right guard for 4 yards (tackle by Akin Ayodele),6.060,5.910
2,8:43,2,1,DAL 1,0,0,Joseph Addai right end for -3 yards (tackle by Akin Ayodele),5.910,4.490
2,8:02,3,4,DAL 4,0,0,Peyton Manning pass incomplete short middle intended for Dallas Clark is intercepted by Roy Williams at DAL-1 and returned for 6 yards,4.490,0.380
2,7:56,1,10,DAL 7,0,0,"Penalty on Jason Witten: False Start, 3 yards (no play)",-0.380,-0.490
2,7:56,1,13,DAL 4,0,0,"Penalty on Dwight Freeney: Defensive Offside, 5 yards (no play)",-0.490,-0.300
2,7:48,1,8,DAL 9,0,0,Tony Romo middle for 6 yards,-0.300,-0.140
2,7:03,2,2,DAL 15,0,0,Marion Barber right guard for 1 yard (tackle by Antoine Bethea),-0.140,-0.370
2,6:29,3,1,DAL 16,0,0,"Penalty on Flozell Adams: False Start, 5 yards (no play)",-0.370,-0.950
