Quarter,Time,Tm,Detail,IND,DAL
2.0,0:10,Colts,Reggie Wayne 23 yard pass from Peyton Manning (Adam Vinatieri kick),7,0
3.0,14:09,Cowboys,Kevin Burnett 39 yard interception return (Mike Vanderjagt kick),7,7
,5:09,Colts,Dallas Clark 4 yard pass from Peyton Manning (Adam Vinatieri kick),14,7
4.0,11:36,Cowboys,Marion Barber III 5 yard rush (Mike Vanderjagt kick),14,14
,6:00,Cowboys,Marion Barber III 1 yard rush (Mike Vanderjagt kick),14,21
