Unnamed: 0,BUF,MIA
First Downs,21,13
Rush-Yds-TDs,30-143-3,20-71-0
Cmp-Att-Yd-TD-INT,17-33-179-2-1,25-44-182-0-1
Sacked-Yards,1-8,6-37
Net Pass Yards,171,145
Total Yards,314,216
Fumbles-Lost,2-1,3-2
Turnovers,2,3
Penalties-Yards,6-53,9-83
Third Down Conv.,7-13,8-18
Fourth Down Conv.,1-1,0-4
Time of Possession,28:26,31:34
