Quarter,Time,Down,ToGo,Location,TEN,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Rob Bironas kicks off 72 yards, returned by Trindon Holliday for 30 yards (tackle by Robert Johnson)",0.000,0.480
1,14:54,1,10,HOU 23,0,0,Matt Schaub pass incomplete short left intended for Kevin Walter,0.480,-0.070
1,14:48,2,10,HOU 23,0,0,Matt Schaub pass complete short left to Andre Johnson for 33 yards (tackle by Jordan Babineaux),-0.070,2.650
1,14:02,1,10,TEN 44,0,0,Matt Schaub pass complete short middle to Andre Johnson for 20 yards (tackle by Will Witherspoon),2.650,3.970
1,13:26,1,10,TEN 24,0,0,Arian Foster right tackle for 5 yards (tackle by Will Witherspoon),3.970,4.120
1,12:57,2,5,TEN 19,0,0,Arian Foster left end for 5 yards (tackle by Jason McCourty),4.120,4.650
1,12:22,1,10,TEN 14,0,0,Arian Foster right tackle for 3 yards (tackle by Derrick Morgan and Akeem Ayers),4.650,4.520
1,11:46,2,7,TEN 11,0,6,"Matt Schaub pass complete short middle to James Casey for 11 yards, touchdown",4.520,7.000
1,11:46,,,TEN 2,0,7,Shayne Graham kicks extra point good,0.000,0.000
1,11:41,,,HOU 35,0,7,"Shayne Graham kicks off 69 yards, returned by Darius Reynaud for 22 yards (tackle by Bryan Braman)",0.000,0.040
1,11:35,1,10,TEN 18,0,7,Chris Johnson up the middle for 13 yards (tackle by Johnathan Joseph and Brian Cushing),0.040,1.000
1,10:58,1,10,TEN 31,0,7,Jake Locker pass incomplete short middle intended for Kendall Wright,1.000,0.460
1,10:53,2,10,TEN 31,0,7,Chris Johnson up the middle for 5 yards (tackle by Brian Cushing and Bradie James),0.460,0.430
1,10:12,3,5,TEN 36,0,7,Jake Locker pass incomplete short right intended for Jared Cook (defended by Brooks Reed),0.430,-0.980
1,10:07,4,5,TEN 36,0,7,"Brett Kern punts 50 yards, returned by Trindon Holliday for 9 yards (tackle by Taylor Thompson)",-0.980,-0.480
1,9:56,1,10,HOU 23,0,7,Matt Schaub pass incomplete deep right intended for Kevin Walter,0.480,-0.070
1,9:49,2,10,HOU 23,0,7,Matt Schaub pass complete short middle to Ben Tate for 9 yards (tackle by Zach Brown),-0.070,0.430
1,9:10,3,1,HOU 32,0,7,Arian Foster right guard for no gain (tackle by Derrick Morgan and Jurrell Casey),0.430,-1.240
1,8:24,4,1,HOU 32,0,7,"Donnie Jones punts 61 yards, returned by Darius Reynaud for 10 yards (tackle by Bryan Braman). Penalty on Tommie Campbell: Illegal Block Above the Waist, 8 yards",-1.240,0.380
1,8:12,1,10,TEN 9,0,7,Chris Johnson left guard for -1 yards (tackle by J.J. Watt),-0.380,-0.850
1,7:35,2,11,TEN 8,0,7,Chris Johnson left tackle for 4 yards (tackle by Bradie James and Earl Mitchell),-0.850,-1.070
1,6:53,3,7,TEN 12,0,7,Jake Locker sacked by Glover Quin for -8 yards,-1.070,-2.490
1,6:29,4,15,TEN 4,0,7,"Brett Kern punts 50 yards, returned by Trindon Holliday for 7 yards (tackle by Will Witherspoon)",-2.490,-2.460
1,6:16,1,10,TEN 47,0,7,Arian Foster right end for 3 yards (tackle by Will Witherspoon),2.460,2.320
1,5:41,2,7,TEN 44,0,7,Arian Foster left end for 6 yards (tackle by Alterraun Verner),2.320,0.000
1,5:01,,,,0,7,Timeout #1 by Houston Texans,0.000,2.410
1,5:01,3,1,TEN 38,0,7,Arian Foster left tackle for no gain (tackle by Jurrell Casey and Akeem Ayers),2.410,0.720
1,4:19,4,1,TEN 38,0,7,Ben Tate right end for 5 yards (tackle by Will Witherspoon and Alterraun Verner),0.720,3.380
1,3:45,1,10,TEN 33,0,7,Matt Schaub pass complete short right to James Casey for 11 yards (tackle by Jason McCourty and Zach Brown),3.380,4.110
1,3:04,1,10,TEN 22,0,7,Matt Schaub pass complete short left to James Casey for 6 yards (tackle by Alterraun Verner),4.110,4.460
1,2:23,2,4,TEN 16,0,7,Arian Foster right tackle for 3 yards (tackle by Derrick Morgan and Markelle Martin),4.460,4.390
1,1:36,3,1,TEN 13,0,7,Matt Schaub pass complete short right to Keshawn Martin for 2 yards (tackle by Ryan Mouton),4.390,4.840
,,,,,,,"HOU challenged the first down ruling, and the original play was overturned.",,
1,0:59,1,10,TEN 11,0,7,Arian Foster right guard for 7 yards (tackle by Jurrell Casey),4.840,5.470
1,0:23,2,3,TEN 4,0,13,"Arian Foster up the middle for 4 yards, touchdown",5.470,7.000
1,0:23,,,TEN 2,0,14,Shayne Graham kicks extra point good,0.000,0.000
1,0:17,,,HOU 35,0,14,"Shayne Graham kicks off 70 yards, returned by Darius Reynaud for 22 yards (tackle by Bryan Braman)",0.000,-0.060
1,0:10,1,10,TEN 17,0,14,Matt Hasselbeck pass complete short left to Jared Cook for 25 yards (tackle by Danieal Manning),-0.060,1.730
Quarter,Time,Down,ToGo,Location,TEN,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 42,0,14,Chris Johnson right end for -6 yards (tackle by J.J. Watt and Johnathan Joseph),1.730,0.380
2,14:13,2,16,TEN 36,0,14,Matt Hasselbeck pass incomplete deep middle intended for Nate Washington,0.380,-0.290
2,14:09,3,16,TEN 36,0,14,Matt Hasselbeck pass incomplete short middle intended for Kendall Wright. Penalty on TEN: Illegal Formation (Declined),-0.290,-0.980
2,14:03,4,16,TEN 36,0,14,Brett Kern punts 52 yards,-0.980,0.350
2,13:50,1,10,HOU 12,0,14,Matt Schaub pass incomplete short left intended for Andre Johnson (defended by Alterraun Verner),-0.350,-0.780
2,13:45,2,10,HOU 12,0,14,Matt Schaub pass complete short left to Ben Tate for -6 yards (tackle by Jurrell Casey),-0.780,-2.120
2,13:04,3,16,HOU 6,0,14,Arian Foster left tackle for 7 yards (tackle by Alterraun Verner and Jordan Babineaux),-2.120,-2.490
2,12:37,4,9,HOU 13,0,14,"Donnie Jones punts 54 yards, returned by Darius Reynaud for 2 yards (tackle by Alan Ball). Darius Reynaud fumbles (forced by Alan Ball), recovered by Tommie Campbell at TEN-32 (tackle by Tim Dobbins). Penalty on Tommie Campbell: Illegal Block Above the Waist, 10 yards",-2.490,-0.410
