Unnamed: 0,TEN,HOU
First Downs,17,16
Rush-Yds-TDs,29-158-0,31-95-1
Cmp-Att-Yd-TD-INT,17-27-193-2-2,20-28-202-2-0
Sacked-Yards,4-26,0-0
Net Pass Yards,167,202
Total Yards,325,297
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,7-73,1-3
Third Down Conv.,4-12,6-14
Fourth Down Conv.,1-1,1-1
Time of Possession,27:34,32:26
