Quarter,Time,Tm,Detail,LAR,NOR
1.0,4:14,Saints,Wil Lutz 46 yard field goal,0,3
,4:00,Rams,Tutu Atwell 62 yard pass from Matthew Stafford (Matt Gay kick),7,3
2.0,12:11,Saints,Juwan Johnson 8 yard pass from Andy Dalton (Wil Lutz kick),7,10
,0:19,Rams,Allen Robinson 6 yard pass from Matthew Stafford (Matt Gay kick),14,10
3.0,10:23,Saints,Jarvis Landry 7 yard pass from Andy Dalton (Wil Lutz kick),14,17
,5:47,Saints,Chris Olave 53 yard pass from Andy Dalton (Wil Lutz kick),14,24
4.0,14:48,Rams,Matt Gay 33 yard field goal,17,24
,9:06,Saints,Wil Lutz 25 yard field goal,17,27
,0:06,Rams,Matt Gay 58 yard field goal,20,27
