Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Cam Akers,LAR,14,61,0,3,31,2.2,30,2.1,1,14.0
Kyren Williams,LAR,7,36,0,2,21,3.0,15,2.1,0,
Bryce Perkins,LAR,5,39,0,2,15,3.0,24,4.8,0,
Darrell Henderson,LAR,2,9,0,,7,3.5,2,1.0,0,
Brandon Powell,LAR,1,-1,0,,-1,-1.0,0,0.0,0,
Matthew Stafford,LAR,1,4,0,0,4,4.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,12,42,0,2,24,2.0,18,1.5,0,
Taysom Hill,NOR,9,52,0,2,32,3.6,20,2.2,0,
Andy Dalton,NOR,2,-2,0,0,-2,-1.0,0,0.0,0,
David Johnson,NOR,1,-4,0,0,-4,-4.0,0,0.0,0,
