Unnamed: 0,LAR,NOR
First Downs,17,19
Rush-Yds-TDs,30-148-0,24-88-0
Cmp-Att-Yd-TD-INT,16-28-223-2-0,22-28-274-3-0
Sacked-Yards,4-35,4-39
Net Pass Yards,188,235
Total Yards,336,323
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,6-55,2-15
Third Down Conv.,5-14,4-11
Fourth Down Conv.,1-2,0-0
Time of Possession,28:53,31:07
