Quarter,Time,Tm,Detail,JAX,CIN
2.0,6:30,Jaguars,Josh Lambo 21 yard field goal,3,0
,1:25,Bengals,Joe Mixon 2 yard pass from Andy Dalton (Randy Bullock kick),3,7
,0:04,Jaguars,Josh Lambo 29 yard field goal,6,7
3.0,6:52,Jaguars,Josh Lambo 37 yard field goal,9,7
,0:31,Bengals,Randy Bullock 38 yard field goal,9,10
4.0,12:41,Jaguars,Keelan Cole 2 yard pass from Gardner Minshew II (Chris Conley pass from Gardner Minshew II),17,10
,4:18,Jaguars,Yannick Ngakoue 23 yard interception return (Josh Lambo kick),24,10
,1:56,Jaguars,Josh Lambo 26 yard field goal,27,10
,0:23,Bengals,Andy Dalton 1 yard rush (Randy Bullock kick),27,17
