Unnamed: 0,JAX,CIN
First Downs,22,21
Rush-Yds-TDs,44-216-0,20-33-1
Cmp-Att-Yd-TD-INT,15-32-255-1-0,22-43-276-1-3
Sacked-Yards,2-11,2-18
Net Pass Yards,244,258
Total Yards,460,291
Fumbles-Lost,1-0,1-1
Turnovers,0,4
Penalties-Yards,11-130,6-50
Third Down Conv.,4-16,5-12
Fourth Down Conv.,1-2,0-0
Time of Possession,38:17,21:43
