Quarter,Time,Down,ToGo,Location,JAX,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,JAX 25,0,0,Gardner Minshew pass complete short right to Dede Westbrook for 14 yards (tackle by Tony McRae),0.610,1.530
1,14:29,1,10,JAX 39,0,0,Gardner Minshew pass complete short left to DJ Chark for 8 yards (tackle by B.W. Webb and Preston Brown),1.530,2.070
1,13:46,2,2,JAX 47,0,0,Leonard Fournette right guard for 19 yards (tackle by B.W. Webb),2.070,3.310
1,13:18,1,10,CIN 34,0,0,"Gardner Minshew aborted snap, recovered by Leonard Fournette at CIN-39 (tackle by Sam Hubbard)",3.310,2.090
1,12:42,2,15,CIN 39,0,0,Gardner Minshew pass complete deep right to Dede Westbrook for 29 yards (tackle by Jessie Bates),2.090,4.910
1,12:07,1,10,CIN 10,0,0,Leonard Fournette right guard for -3 yards (tackle by Josh Tupou and Geno Atkins),4.910,3.720
1,11:26,2,13,CIN 13,0,0,Gardner Minshew pass incomplete short middle intended for Dede Westbrook (defended by Sam Hubbard),3.720,3.060
1,11:22,3,13,CIN 13,0,0,Gardner Minshew pass complete short middle to DJ Chark for 12 yards (tackle by Tony McRae and Jessie Bates),3.060,3.550
1,10:42,4,1,CIN 1,0,0,Leonard Fournette right guard for no gain (tackle by Nick Vigil and Preston Brown),3.550,0.380
1,10:39,1,10,CIN 1,0,0,Andy Dalton right guard for 4 yards (tackle by Abry Jones),-0.380,-0.490
1,10:02,2,6,CIN 5,0,0,Andy Dalton pass complete short right to Alex Erickson for 5 yards (tackle by A.J. Bouye),-0.490,-0.370
1,9:28,3,1,CIN 10,0,0,Joe Mixon left end for -3 yards (tackle by Calais Campbell),-0.370,-2.490
1,8:52,4,4,CIN 7,0,0,"Kevin Huber punts 55 yards, returned by Dede Westbrook for no gain (tackle by Cethan Carter). Penalty on Ryquell Armstead: Face Mask (15 Yards), 15 yards",-2.490,-0.480
1,8:40,1,10,JAX 23,0,0,Leonard Fournette left tackle for 2 yards (tackle by Renell Wren and Shawn Williams),0.480,0.200
1,7:57,2,8,JAX 25,0,0,"Gardner Minshew left end for 1 yard (tackle by Jordan Evans). Penalty on Jawaan Taylor: Offensive Holding, 10 yards (no play)",0.200,-1.280
1,7:34,2,18,JAX 15,0,0,Gardner Minshew pass incomplete short middle intended for Seth Devalve,-1.280,-2.150
1,7:29,3,18,JAX 15,0,0,Gardner Minshew sacked by Geno Atkins for -5 yards,-2.150,-2.490
1,6:45,4,23,JAX 10,0,0,"Logan Cooke punts 48 yards, returned by Alex Erickson for 5 yards (tackle by Leon Jacobs)",-2.490,-2.060
