Unnamed: 0,LAC,DEN
First Downs,17,16
Rush-Yds-TDs,24-86-0,33-101-0
Cmp-Att-Yd-TD-INT,24-38-220-0-0,20-32-224-1-0
Sacked-Yards,1-5,2-12
Net Pass Yards,215,212
Total Yards,301,313
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,3-48,7-49
Third Down Conv.,2-11,7-17
Fourth Down Conv.,1-2,1-1
Time of Possession,26:14,33:46
