Unnamed: 0,DEN,LAC
First Downs,15,19
Rush-Yds-TDs,32-191-1,16-35-0
Cmp-Att-Yd-TD-INT,14-20-182-1-1,32-48-211-0-2
Sacked-Yards,3-23,0-0
Net Pass Yards,159,211
Total Yards,350,246
Fumbles-Lost,3-1,1-1
Turnovers,2,3
Penalties-Yards,12-122,4-43
Third Down Conv.,3-11,4-13
Fourth Down Conv.,0-0,0-1
Time of Possession,29:36,30:24
