Quarter,Time,Tm,Detail,DEN,LAC
1.0,11:06,Broncos,Phillip Lindsay 4 yard rush (Brandon McManus kick),7,0
,4:58,Broncos,Courtland Sutton 70 yard pass from Joe Flacco (Brandon McManus kick),14,0
2.0,5:17,Broncos,Brandon McManus 40 yard field goal,17,0
3.0,0:31,Chargers,Desmond King 68 yard punt return (Chase McLaughlin kick),17,7
4.0,6:47,Chargers,Chase McLaughlin 45 yard field goal,17,10
,1:55,Broncos,Brandon McManus 46 yard field goal,20,10
,0:10,Chargers,Chase McLaughlin 32 yard field goal,20,13
