Quarter,Time,Tm,Detail,BUF,HOU
2.0,11:37,Bills,Dan Carpenter 31 yard field goal,3,0
,5:54,Bills,Sammy Watkins 5 yard pass from EJ Manuel (Dan Carpenter kick),10,0
,0:57,Texans,DeAndre Hopkins 35 yard pass from Ryan Fitzpatrick (Randy Bullock kick),10,7
3.0,13:28,Texans,J.J. Watt 80 yard interception return (Randy Bullock kick),10,14
,6:14,Texans,Randy Bullock 41 yard field goal,10,17
4.0,9:21,Texans,Randy Bullock 55 yard field goal,10,20
,9:08,Bills,Mike Williams 80 yard pass from EJ Manuel (Dan Carpenter kick),17,20
,4:49,Texans,Randy Bullock 50 yard field goal,17,23
