Quarter,Time,Down,ToGo,Location,BUF,HOU,Detail,EPB,EPA
1,9:37,3,5,BUF 37,0,0,C.J. Spiller left end for -3 yards (tackle by Darryl Morris),0.500,-1.110
1,9:03,4,8,BUF 34,0,0,Colton Schmidt punts 35 yards,-1.110,-1.000
1,8:53,1,10,HOU 31,0,0,Ryan Fitzpatrick pass complete short right to DeAndre Hopkins for 4 yards (tackle by Stephon Gilmore),1.000,1.000
1,8:19,2,6,HOU 35,0,0,Ryan Fitzpatrick pass complete short right to DeAndre Hopkins for 5 yards (tackle by Keith Rivers),1.000,0.960
1,7:43,3,1,HOU 40,0,0,Ryan Fitzpatrick sacked by Mario Williams and Nigel Bradham for 0 yards,0.960,-0.720
1,7:05,4,1,HOU 40,0,0,"Shane Lechler punts 41 yards, fair catch by Leodis McKelvin",-0.720,-0.150
1,6:57,1,10,BUF 19,0,0,C.J. Spiller left tackle for 4 yards (tackle by Brian Cushing and J.J. Watt),0.150,0.210
1,6:25,2,6,BUF 23,0,0,EJ Manuel sacked by Jared Crick and Tim Jamison for 0 yards,0.210,-0.550
1,5:41,3,6,BUF 23,0,0,EJ Manuel pass incomplete short left intended for Sammy Watkins,-0.550,-1.830
1,5:36,4,6,BUF 23,0,0,"Colton Schmidt punts 61 yards, returned by Damaris Johnson for 9 yards (tackle by Ron Brooks)",-1.830,-0.610
1,5:23,1,10,HOU 25,0,0,Arian Foster left tackle for no gain (tackle by Marcell Dareus),0.610,0.060
1,4:48,2,10,HOU 25,0,0,Ryan Fitzpatrick pass complete short right to Arian Foster for 12 yards (tackle by Duke Williams),0.060,1.400
1,4:24,1,10,HOU 37,0,0,Arian Foster left guard for -1 yards (tackle by Marcell Dareus),1.400,0.720
1,3:55,2,11,HOU 36,0,0,Ryan Fitzpatrick pass complete short middle to Garrett Graham for 7 yards (tackle by Jerry Hughes),0.720,0.960
1,3:30,3,4,HOU 43,0,0,Ryan Fitzpatrick sacked by Nigel Bradham for -2 yards,0.960,-0.650
1,2:59,4,6,HOU 41,0,0,"Shane Lechler punts 39 yards, fair catch by Leodis McKelvin",-0.650,-0.280
1,2:50,1,10,BUF 20,0,0,EJ Manuel pass incomplete short middle intended for Robert Woods (defended by Jerrell Powe),0.280,-0.270
1,2:46,2,10,BUF 20,0,0,Fred Jackson left tackle for 9 yards (tackle by Brian Cushing),-0.270,0.230
1,2:11,3,1,BUF 29,0,0,EJ Manuel pass complete short right to Fred Jackson for 4 yards (tackle by D.J. Swearinger),0.230,1.140
1,1:42,1,10,BUF 33,0,0,Fred Jackson right end for no gain (tackle by J.J. Watt),1.140,0.590
1,1:03,2,10,BUF 33,0,0,"EJ Manuel pass complete short right to Fred Jackson for 2 yards (tackle by Brian Cushing). Penalty on J.J. Watt: Roughing the Passer, 15 yards",0.590,2.260
1,0:41,1,10,,0,0,C.J. Spiller right end for 22 yards (tackle by Brian Cushing),2.260,3.710
1,0:15,1,10,HOU 28,0,0,"Penalty on Cyril Richardson: False Start, 5 yards (no play)",3.710,3.380
Quarter,Time,Down,ToGo,Location,BUF,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,15,HOU 33,0,0,C.J. Spiller right tackle for 1 yard (tackle by Ryan Pickett and Jared Crick),3.380,2.630
2,14:23,2,14,HOU 32,0,0,EJ Manuel pass complete short right to Sammy Watkins for 9 yards (tackle by Johnathan Joseph),2.630,3.140
2,13:41,3,5,HOU 23,0,0,EJ Manuel pass complete short left to Scott Chandler for 11 yards (tackle by Kendrick Lewis),3.140,4.780
2,13:06,1,10,HOU 12,0,0,EJ Manuel pass complete short left to Scott Chandler for 4 yards (tackle by Kareem Jackson and Justin Tuggle),4.780,4.780
2,12:30,1,10,HOU 12,0,0,Timeout #1 by Buffalo Bills,4.780,4.830
2,12:30,2,6,HOU 8,0,0,Fred Jackson up the middle for no gain (tackle by J.J. Watt),4.830,4.830
2,11:45,2,6,HOU 8,0,0,Timeout #2 by Buffalo Bills,4.830,3.930
2,11:45,3,6,HOU 8,0,0,"Penalty on Cordy Glenn: False Start, 5 yards (no play)",3.930,3.100
2,11:45,3,11,HOU 13,0,0,EJ Manuel pass incomplete short left intended for Mike Williams (defended by Johnathan Joseph),3.100,2.570
2,11:40,4,11,HOU 13,3,0,Dan Carpenter 31 yard field goal good,2.570,3.000
2,11:40,,,BUF 35,3,0,"Jordan Gay kicks off 65 yards, touchback",0.000,-0.280
2,11:37,1,10,HOU 20,3,0,"Ryan Fitzpatrick pass incomplete deep right intended for DeAndre Hopkins. Penalty on Leodis McKelvin: Illegal Contact, 5 yards (no play)",0.280,0.610
2,11:30,1,10,HOU 25,3,0,Alfred Blue up the middle for no gain (tackle by Stefan Charles),0.610,0.060
2,11:02,2,10,HOU 25,3,0,Ryan Fitzpatrick pass complete short middle to Andre Johnson for 10 yards (tackle by Da'Norris Searcy),0.060,1.270
2,10:31,1,10,HOU 35,3,0,Ryan Fitzpatrick pass complete deep left to Andre Johnson for 25 yards (tackle by Leodis McKelvin),1.270,2.920
2,10:31,1,10,BUF 40,3,0,"Ryan Fitzpatrick pass complete short left to Andre Johnson for 4 yards (tackle by Brandon Spikes). Andre Johnson fumbles (forced by Brandon Spikes), recovered by Da'Norris Searcy at BUF-36 (tackle by Andre Johnson). Penalty on Duane Brown: Unnecessary Roughness, 15 yards",2.920,-2.320
2,9:50,1,10,HOU 49,3,0,C.J. Spiller left guard for 7 yards (tackle by Justin Tuggle),2.320,2.730
2,9:15,2,3,HOU 42,3,0,EJ Manuel pass incomplete deep left intended for Robert Woods,2.730,2.020
2,9:08,3,3,HOU 42,3,0,EJ Manuel pass complete short left to Sammy Watkins for 6 yards (tackle by Johnathan Joseph),2.020,3.180
2,8:36,1,10,HOU 36,3,0,Fred Jackson up the middle for 1 yard (tackle by Mike Mohamed and Whitney Mercilus),3.180,2.770
2,8:00,2,9,HOU 35,3,0,Fred Jackson up the middle for 14 yards (tackle by Kendrick Lewis),2.770,2.770
2,7:22,2,9,HOU 35,3,0,Timeout #1 by Houston Texans,2.770,4.170
2,7:22,1,10,HOU 21,3,0,C.J. Spiller left tackle for 9 yards (tackle by Whitney Mercilus),4.170,5.160
2,7:22,2,1,HOU 12,3,0,EJ Manuel pass complete short left to C.J. Spiller for 7 yards (tackle by Brian Cushing),5.160,6.060
2,6:00,1,5,HOU 5,9,0,"EJ Manuel pass complete short right to Sammy Watkins for 5 yards, touchdown",6.060,7.000
2,6:00,,,HOU 2,10,0,Dan Carpenter kicks extra point good,0.000,0.000
2,6:00,,,BUF 35,10,0,"Jordan Gay kicks off 65 yards, touchback",0.000,-0.280
2,5:54,1,10,HOU 20,10,0,Ryan Fitzpatrick pass incomplete deep middle intended for DeAndre Hopkins is intercepted by Leodis McKelvin at BUF-37,0.280,-1.400
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the play was upheld.",,
2,5:47,1,10,BUF 37,10,0,EJ Manuel pass incomplete deep middle intended for Sammy Watkins,1.400,0.860
2,5:40,2,10,BUF 37,10,0,EJ Manuel pass complete short left to Sammy Watkins for 10 yards (tackle by Johnathan Joseph),0.860,0.860
2,5:01,2,10,BUF 37,10,0,Timeout #3 by Buffalo Bills,0.860,2.060
2,5:01,1,10,BUF 47,10,0,EJ Manuel pass complete short right to C.J. Spiller for 5 yards (tackle by Kareem Jackson),2.060,2.190
2,4:29,2,5,HOU 48,10,0,"C.J. Spiller up the middle for 1 yard (tackle by D.J. Swearinger). C.J. Spiller fumbles (forced by D.J. Swearinger), recovered by Seantrel Henderson at HOU-47",2.190,1.620
2,3:43,3,4,HOU 47,10,0,EJ Manuel pass incomplete short middle intended for Robert Woods,1.620,0.130
2,3:38,4,4,HOU 47,10,0,"Colton Schmidt punts 47 yards, touchback",0.130,-0.280
2,3:29,1,10,HOU 20,10,0,Arian Foster left guard for 4 yards (tackle by Nigel Bradham),0.280,0.270
2,2:46,2,6,HOU 24,10,0,Arian Foster up the middle for 3 yards (tackle by Preston Brown and Da'Norris Searcy),0.270,-0.030
2,2:09,3,3,HOU 27,10,0,Ryan Fitzpatrick pass complete short right to Arian Foster for 17 yards (tackle by Corey Graham),-0.030,1.860
2,2:00,1,10,HOU 44,10,0,Arian Foster left tackle for 1 yard (tackle by Preston Brown and Jerry Hughes),1.860,1.450
2,1:48,2,9,HOU 45,10,0,Ryan Fitzpatrick pass incomplete short left intended for Damaris Johnson,1.450,0.760
2,1:42,3,9,HOU 45,10,0,Ryan Fitzpatrick left end for 11 yards (tackle by Preston Brown),0.760,2.650
2,1:09,1,10,BUF 44,10,0,Ryan Fitzpatrick pass complete short middle to Garrett Graham for 9 yards (tackle by Nigel Bradham and Nickell Robey),2.650,2.650
2,1:03,1,10,BUF 44,10,0,Timeout #2 by Houston Texans,2.650,3.330
2,1:03,2,1,BUF 35,10,6,"Ryan Fitzpatrick pass complete deep right to DeAndre Hopkins for 35 yards, touchdown. Penalty on DeAndre Hopkins: Unsportsmanlike Conduct, 15 yards",3.330,7.000
2,1:03,,,BUF 2,10,7,"Randy Bullock kicks extra point good. Penalty on BUF: Illegal Formation, 5 yards",0.000,0.000
2,1:03,,,HOU 25,10,7,"Randy Bullock kicks off 70 yards, returned by C.J. Spiller for 29 yards (tackle by Akeem Dent)",0.000,-1.200
2,0:49,1,10,BUF 34,10,7,EJ Manuel pass incomplete short middle intended for Sammy Watkins,1.200,0.660
2,0:45,2,10,BUF 34,10,7,EJ Manuel pass complete short middle to Fred Jackson for 13 yards (tackle by Mike Mohamed and Darryl Morris),0.660,2.060
2,0:45,1,10,BUF 47,10,7,EJ Manuel pass complete short left to Robert Woods for no gain,2.060,1.520
2,0:08,2,10,BUF 47,10,7,EJ Manuel spiked the ball,1.520,0.830
2,0:07,3,10,BUF 47,10,7,EJ Manuel pass complete short left to Fred Jackson for 10 yards (tackle by D.J. Swearinger),0.830,2.720
Quarter,Time,Down,ToGo,Location,BUF,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,10,7,"Jordan Gay kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,HOU 20,10,7,Ryan Fitzpatrick pass incomplete short left intended for Arian Foster is intercepted by Nigel Bradham at HOU-19,0.280,-4.310
3,14:52,1,10,HOU 19,10,7,C.J. Spiller right tackle for 3 yards (tackle by Brooks Reed and Jared Crick),4.310,4.180
3,14:20,2,7,HOU 16,10,7,C.J. Spiller up the middle for 4 yards (tackle by Jerrell Powe),4.180,4.190
3,13:40,3,3,HOU 12,10,13,"EJ Manuel pass incomplete short right intended for Fred Jackson is intercepted by J.J. Watt at HOU-20 and returned for 80 yards, touchdown",4.190,-7.000
3,13:28,,,BUF 2,10,14,Randy Bullock kicks extra point good,0.000,0.000
3,13:28,,,HOU 35,10,14,"Randy Bullock kicks off 71 yards, returned by C.J. Spiller for 27 yards (tackle by Jonathan Grimes)",0.000,-0.340
3,13:22,1,10,BUF 21,10,14,Fred Jackson up the middle for 7 yards (tackle by Brian Cushing),0.340,0.750
3,12:47,2,3,BUF 28,10,14,EJ Manuel pass incomplete short left intended for Robert Woods,0.750,0.040
3,12:42,3,3,BUF 28,10,14,EJ Manuel pass incomplete short right intended for Sammy Watkins (defended by Johnathan Joseph),0.040,-1.500
3,12:36,4,3,BUF 28,10,14,"Colton Schmidt punts 37 yards, returned by Keshawn Martin for no gain",-1.500,-1.270
3,12:24,1,10,HOU 35,10,14,Ryan Fitzpatrick pass complete short middle to Garrett Graham for 12 yards (tackle by Duke Williams),1.270,2.060
3,11:50,1,10,HOU 47,10,14,Ryan Fitzpatrick pass incomplete deep left intended for C.J. Fiedorowicz (defended by Aaron Williams),2.060,1.520
3,11:44,2,10,HOU 47,10,14,Ryan Fitzpatrick pass incomplete short left intended for Garrett Graham,1.520,0.830
3,11:38,3,10,HOU 47,10,14,Ryan Fitzpatrick pass complete short right to Damaris Johnson for 10 yards (tackle by Preston Brown),0.830,2.720
3,11:00,1,10,BUF 43,10,14,Arian Foster right guard for 3 yards (tackle by Nickell Robey),2.720,2.580
3,10:26,2,7,BUF 40,10,14,Ryan Fitzpatrick pass complete short middle to Arian Foster for 8 yards (tackle by Brandon Spikes),2.580,3.450
3,9:54,1,10,BUF 32,10,14,Arian Foster up the middle for 2 yards (tackle by Manny Lawson),3.450,3.170
3,9:25,2,8,BUF 30,10,14,Ryan Fitzpatrick pass complete short right to Arian Foster for 7 yards (tackle by Preston Brown),3.170,3.400
3,9:25,3,1,BUF 23,10,14,"Penalty on Kyle Williams: Defensive Offside, 5 yards (no play)",3.400,4.370
3,8:43,1,10,BUF 18,10,14,Ryan Fitzpatrick pass complete short middle to Andre Johnson for 4 yards (tackle by Aaron Williams),4.370,4.430
3,8:43,2,6,BUF 14,10,14,Ryan Fitzpatrick sacked by Marcell Dareus for -2 yards,4.430,3.300
3,8:43,3,8,BUF 16,10,14,"Penalty on Duane Brown: False Start, 5 yards (no play)",3.300,2.740
3,7:00,3,13,BUF 21,10,14,"Ryan Fitzpatrick for 2 yards. Ryan Fitzpatrick fumbles, recovered by Ryan Fitzpatrick at BUF-25",2.740,1.930
3,6:18,4,15,BUF 23,10,17,Randy Bullock 41 yard field goal good,1.930,3.000
3,6:18,,,HOU 35,10,17,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
3,6:14,1,10,BUF 20,10,17,C.J. Spiller left tackle for 8 yards (tackle by Johnathan Joseph and Kendrick Lewis),0.280,0.810
3,5:44,2,2,BUF 28,10,17,C.J. Spiller up the middle for 3 yards (tackle by Brooks Reed),0.810,1.000
3,5:06,1,10,BUF 31,10,17,EJ Manuel pass complete short middle to Fred Jackson for 9 yards (tackle by Kareem Jackson and Kendrick Lewis),1.000,1.680
3,4:28,2,1,BUF 40,10,17,EJ Manuel pass complete short right to C.J. Spiller for 12 yards (tackle by Kareem Jackson),1.680,2.390
3,3:57,1,10,HOU 48,10,17,EJ Manuel pass complete short left to Robert Woods for 4 yards (tackle by Darryl Morris),2.390,2.390
3,3:26,2,6,HOU 44,10,17,C.J. Spiller up the middle for -4 yards (tackle by Kendrick Lewis),2.390,1.160
3,2:42,3,10,HOU 48,10,17,EJ Manuel pass incomplete short middle intended for Robert Woods,1.160,0.070
3,2:35,4,10,HOU 48,10,17,"Colton Schmidt punts 48 yards, touchback",0.070,-0.280
3,2:27,1,10,HOU 20,10,17,"Ryan Fitzpatrick pass incomplete short middle intended for Andre Johnson. Penalty on Stephon Gilmore: Defensive Holding, 5 yards (no play)",0.280,0.610
3,2:21,1,10,HOU 25,10,17,Ryan Fitzpatrick pass complete short left to Andre Johnson for 15 yards (tackle by Stephon Gilmore),0.610,1.600
3,1:53,1,10,HOU 40,10,17,"Ryan Fitzpatrick pass complete short left to Andre Johnson for 5 yards (tackle by Stephon Gilmore and Aaron Williams). Penalty on Duane Brown: Offensive Pass Interference, 10 yards (no play)",1.600,0.940
3,1:31,1,20,HOU 30,10,17,"Ryan Fitzpatrick sacked by Mario Williams for -6 yards. Penalty on Leodis McKelvin: Defensive Holding, 5 yards (no play)",0.940,1.270
3,1:16,1,10,HOU 35,10,17,Ryan Fitzpatrick pass complete short left to Jay Prosch for 24 yards (tackle by Keith Rivers),1.270,2.850
3,0:48,1,10,BUF 41,10,17,Alfred Blue right tackle for 4 yards (tackle by Keith Rivers and Brandon Spikes),2.850,2.850
3,0:13,2,6,BUF 37,10,17,Alfred Blue left tackle for -1 yards (tackle by Marcell Dareus),2.850,2.850
Quarter,Time,Down,ToGo,Location,BUF,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,BUF 37,10,17,Timeout #1 by Houston Texans,2.850,2.020
4,15:00,3,7,BUF 38,10,17,"Penalty on Jerry Hughes: Neutral Zone Infraction, 5 yards (no play)",2.020,2.680
4,15:00,3,2,BUF 33,10,17,"Penalty on Brandon Brooks: False Start, 5 yards (no play)",2.680,2.020
4,15:00,3,7,BUF 38,10,17,Ryan Fitzpatrick pass incomplete deep left intended for Andre Johnson,2.020,0.720
4,14:53,4,7,BUF 38,10,17,"Shane Lechler punts 25 yards, out of bounds",0.720,0.320
4,14:46,1,10,BUF 13,10,17,EJ Manuel pass incomplete short left intended for Robert Woods (defended by Kareem Jackson),-0.320,-0.770
4,14:40,2,10,BUF 13,10,17,C.J. Spiller up the middle for -2 yards (tackle by Johnathan Joseph),-0.770,-1.650
4,13:52,3,12,BUF 11,10,17,EJ Manuel pass incomplete deep right intended for Robert Woods,-1.650,-2.490
4,13:46,4,12,BUF 11,10,17,"Colton Schmidt punts 52 yards, returned by Keshawn Martin for 10 yards (tackle by Manny Lawson)",-2.490,-2.060
4,13:33,1,10,HOU 47,10,17,Alfred Blue left guard for -2 yards (tackle by Da'Norris Searcy and Stefan Charles),2.060,1.250
4,12:58,2,12,HOU 45,10,17,Ryan Fitzpatrick pass complete short left to Alfred Blue for 3 yards (tackle by Preston Brown),1.250,0.960
4,12:09,3,9,HOU 48,10,17,Ryan Fitzpatrick pass incomplete short left intended for Arian Foster,0.960,-0.190
4,12:01,4,9,HOU 48,10,17,Shane Lechler punts 51 yards,-0.190,0.380
4,11:50,1,10,BUF 1,10,17,Fred Jackson up the middle for 2 yards (tackle by J.J. Watt and Brian Cushing),-0.380,-0.630
4,11:13,2,8,BUF 3,10,17,EJ Manuel pass incomplete short middle intended for Scott Chandler (defended by Brian Cushing),-0.630,-0.630
4,11:07,2,8,BUF 3,10,17,Timeout #1 by Buffalo Bills,-0.630,-1.190
4,11:07,3,8,BUF 3,10,17,EJ Manuel pass incomplete deep right intended for Mike Williams,-1.190,-2.490
4,11:01,4,8,BUF 3,10,17,"Colton Schmidt punts 41 yards, returned by Keshawn Martin for no gain",-2.490,-2.650
4,10:51,1,10,BUF 44,10,17,Alfred Blue left guard for 4 yards (tackle by Keith Rivers),2.650,2.650
4,10:07,2,6,BUF 40,10,17,Ryan Fitzpatrick pass incomplete short right intended for Garrett Graham,2.650,1.950
4,10:03,3,6,BUF 40,10,17,Ryan Fitzpatrick pass complete short right to Arian Foster for 3 yards (tackle by Mario Williams),1.950,0.790
4,9:26,4,3,BUF 37,10,20,Randy Bullock 55 yard field goal good,0.790,3.000
4,9:26,,,HOU 35,10,20,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
4,9:21,1,10,BUF 20,16,20,"EJ Manuel pass complete deep right to Mike Williams for 80 yards, touchdown",0.280,7.000
4,9:21,,,HOU 2,17,20,Dan Carpenter kicks extra point good,0.000,0.000
4,9:21,,,BUF 35,17,20,"Jordan Gay kicks off 70 yards, returned by Danieal Manning for 41 yards (tackle by Corey Graham)",0.000,-1.330
4,9:00,1,10,HOU 36,17,20,Ryan Fitzpatrick pass complete short right to Alfred Blue for 13 yards (tackle by Preston Brown),1.330,2.190
4,8:25,1,10,HOU 49,17,20,Ryan Fitzpatrick pass incomplete short middle intended for Alfred Blue,2.190,1.650
4,8:19,2,10,HOU 49,17,20,Alfred Blue right tackle for 6 yards (tackle by Aaron Williams),1.650,1.750
4,7:37,3,4,BUF 45,17,20,Ryan Fitzpatrick up the middle for 5 yards (tackle by Corbin Bryant),1.750,2.920
4,6:50,1,10,BUF 40,17,20,"Ryan Fitzpatrick pass complete short middle to Keshawn Martin for 17 yards (tackle by Aaron Williams). Penalty on DeAndre Hopkins: Offensive Pass Interference, 10 yards (no play)",2.920,2.260
4,6:30,1,20,,17,20,Damaris Johnson right end for 8 yards (tackle by Leodis McKelvin),2.260,2.100
4,5:43,2,12,BUF 42,17,20,Ryan Fitzpatrick pass complete short middle to DeAndre Hopkins for 10 yards (tackle by Aaron Williams),2.100,2.740
4,4:57,3,2,BUF 32,17,20,Ryan Fitzpatrick pass incomplete short right intended for Arian Foster,2.740,1.300
4,4:53,4,2,BUF 32,17,23,Randy Bullock 50 yard field goal good,1.300,3.000
4,4:53,,,HOU 35,17,23,"Randy Bullock kicks off 70 yards, returned by C.J. Spiller for 26 yards (tackle by Ricky Sapp)",0.000,-0.340
4,4:44,1,10,BUF 21,17,23,EJ Manuel pass complete short middle to Mike Williams for 4 yards (tackle by Brian Cushing),0.340,0.340
4,4:08,2,6,BUF 25,17,23,EJ Manuel pass incomplete short middle intended for Scott Chandler,0.340,-0.360
4,4:04,3,6,BUF 25,17,23,EJ Manuel pass incomplete deep right intended for Mike Williams,-0.360,-1.700
4,3:58,4,6,BUF 25,17,23,"Colton Schmidt punts 43 yards, fair catch by Keshawn Martin",-1.700,-1.070
4,3:49,1,10,HOU 32,17,23,Alfred Blue right tackle for no gain (tackle by Preston Brown and Jarius Wynn),1.070,0.530
4,3:02,2,10,HOU 32,17,23,Ryan Fitzpatrick pass incomplete short right intended for Jay Prosch,0.530,-0.160
4,2:58,3,10,HOU 32,17,23,Ryan Fitzpatrick pass complete short middle to Arian Foster for 10 yards (tackle by Keith Rivers and Preston Brown),-0.160,1.730
4,2:13,1,10,HOU 42,17,23,Alfred Blue left guard for -4 yards (tackle by Jarius Wynn and Stefan Charles),1.730,1.730
4,2:07,1,10,HOU 42,17,23,Timeout #2 by Buffalo Bills,1.730,0.650
4,2:07,2,14,HOU 38,17,23,Alfred Blue right end for 2 yards (tackle by Duke Williams),0.650,0.230
4,2:00,3,12,HOU 40,17,23,Ryan Fitzpatrick pass complete short right to Arian Foster for -2 yards (tackle by Keith Rivers),0.230,0.230
4,1:55,3,12,HOU 40,17,23,Timeout #3 by Buffalo Bills,0.230,-0.850
4,1:54,4,14,HOU 38,17,23,"Shane Lechler punts 44 yards, returned by Leodis McKelvin for 11 yards (tackle by Jeff Tarpinian)",-0.850,-0.870
4,1:42,1,10,BUF 29,17,23,EJ Manuel right end for 3 yards (tackle by Mike Mohamed),0.870,0.730
4,1:33,2,7,BUF 32,17,23,EJ Manuel pass incomplete short right intended for Scott Chandler,0.730,0.040
4,1:28,3,7,BUF 32,17,23,EJ Manuel pass complete short middle to Fred Jackson for 14 yards (tackle by Kareem Jackson),0.040,1.990
4,1:21,1,10,BUF 46,17,23,EJ Manuel pass complete short left to Robert Woods for 13 yards (tackle by Kendrick Lewis),1.990,2.850
4,1:14,1,10,HOU 41,17,23,EJ Manuel pass incomplete deep right intended for Robert Woods is intercepted by Darryl Morris at HOU-15,2.850,0.220
4,1:07,1,10,HOU 15,17,23,Ryan Fitzpatrick kneels for -1 yards,-0.220,-0.820
4,0:29,2,11,HOU 14,17,23,Ryan Fitzpatrick kneels for -1 yards,-0.820,-1.640
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
