Unnamed: 0,BUF,HOU
First Downs,17,19
Rush-Yds-TDs,23-96-0,23-37-0
Cmp-Att-Yd-TD-INT,21-44-225-2-2,25-37-268-1-2
Sacked-Yards,2-5,3-4
Net Pass Yards,220,264
Total Yards,316,301
Fumbles-Lost,1-0,2-1
Turnovers,2,3
Penalties-Yards,8-40,8-90
Third Down Conv.,5-16,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,29:04,30:56
