Unnamed: 0,GNB,NYG
First Downs,16,19
Rush-Yds-TDs,20-55-1,24-78-1
Cmp-Att-Yd-TD-INT,24-34-339-0-3,25-35-279-1-1
Sacked-Yards,0-0,4-23
Net Pass Yards,339,256
Total Yards,394,334
Fumbles-Lost,0-0,0-0
Turnovers,3,1
Penalties-Yards,5-38,3-30
Third Down Conv.,2-8,4-14
Fourth Down Conv.,0-1,2-2
Time of Possession,24:46,35:14
