Quarter,Time,Down,ToGo,Location,CIN,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,Jake Browning pass incomplete deep right intended for Drew Sample,0.610,0.060
1,14:55,2,10,CIN 25,0,0,Joe Mixon left end for 2 yards (tackle by Nick Bolton),0.060,-0.360
1,14:12,3,8,CIN 27,0,0,Jake Browning scrambles right guard for 8 yards (tackle by Mike Edwards),-0.360,1.270
1,13:32,1,10,CIN 35,0,0,Joe Mixon right guard for 5 yards (tackle by Derrick Nnadi and Chamarri Conner),1.270,1.400
1,12:52,2,5,CIN 40,0,0,Joe Mixon right end for 4 yards (tackle by Derrick Nnadi),1.400,1.220
1,12:15,3,1,CIN 44,0,0,Jake Browning up the middle for 2 yards (tackle by Trent McDuffie),1.220,1.990
1,11:38,1,10,CIN 46,0,0,Jake Browning pass complete short left to Chase Brown for 4 yards (tackle by Willie Gay),1.990,1.990
1,11:03,2,6,CIN 50,0,0,Jake Browning scrambles right end for 8 yards (tackle by Trent McDuffie),1.990,2.790
1,10:19,1,10,KAN 42,0,0,Jake Browning pass complete short right to Drew Sample for 5 yards (tackle by Jaylen Watson and Willie Gay),2.790,2.920
1,9:52,2,5,KAN 37,0,0,"Jake Browning pass complete short right to Joe Mixon for no gain (tackle by L'Jarius Sneed). Penalty on Cordell Volson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.920,2.240
1,9:27,2,10,KAN 42,0,0,Joe Mixon left end for 3 yards (tackle by Michael Danna),2.240,1.950
1,8:44,3,7,KAN 39,0,0,Jake Browning pass complete short right to Tee Higgins for 19 yards (tackle by Jaylen Watson),1.950,4.240
1,7:57,1,10,KAN 20,0,0,Chase Brown right guard for no gain (tackle by Charles Omenihu),4.240,3.690
1,7:15,2,10,KAN 20,0,0,Jake Browning pass incomplete short right intended for Ja'Marr Chase (defended by Charles Omenihu),3.690,3.010
1,7:10,3,10,KAN 20,0,0,Jake Browning pass complete short right to Trenton Irwin for 4 yards (tackle by Trent McDuffie),3.010,2.400
1,6:26,4,6,KAN 16,3,0,Evan McPherson 34 yard field goal good,2.400,3.000
1,6:21,,,CIN 35,3,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,6:21,1,10,KAN 25,3,0,Isiah Pacheco up the middle for 9 yards (tackle by Daxton Hill and Sam Hubbard),0.610,1.280
1,5:49,2,1,KAN 34,3,0,Patrick Mahomes pass complete short right to Noah Gray for 3 yards (tackle by Akeem Davis-Gaither),1.280,1.400
1,5:17,1,10,KAN 37,3,0,Patrick Mahomes pass complete short left to Rashee Rice for 18 yards (tackle by Chidobe Awuzie),1.400,2.590
1,4:47,1,10,CIN 45,3,0,Isiah Pacheco left end for 35 yards (tackle by Jordan Battle),2.590,4.910
1,4:12,1,10,CIN 10,3,0,Patrick Mahomes sacked by Mike Hilton for no gain,4.910,4.190
1,3:39,2,10,CIN 10,3,0,Isiah Pacheco left end for 2 yards (tackle by Jordan Battle and Chidobe Awuzie),4.190,3.580
1,3:02,3,8,CIN 8,3,6,"Patrick Mahomes pass complete short middle to Isiah Pacheco for 8 yards, touchdown",3.580,7.000
1,2:58,,,CIN 15,3,7,Harrison Butker kicks extra point good,0.000,0.000
1,2:58,,,KAN 35,3,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,2:58,1,10,CIN 25,3,7,Chase Brown left end for 3 yards (tackle by Leo Chenal and Tershawn Wharton),0.610,0.470
1,2:20,2,7,CIN 28,3,7,Jake Browning pass complete short right to Drew Sample for 5 yards (tackle by Leo Chenal),0.470,0.430
1,1:41,3,2,CIN 33,3,7,Jake Browning pass complete deep right to Ja'Marr Chase for 24 yards (tackle by Justin Reid),0.430,2.720
1,1:03,1,10,KAN 43,3,7,Joe Mixon left end for 4 yards (tackle by Nick Bolton and Mike Pennel),2.720,2.720
1,0:24,2,6,KAN 39,3,7,Joe Mixon right end for 9 yards (tackle by Nick Bolton),2.720,3.580
Quarter,Time,Down,ToGo,Location,CIN,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 30,3,7,Joe Mixon left end for 1 yard (tackle by Nick Bolton and Leo Chenal),3.580,3.170
2,14:22,2,9,KAN 29,3,7,Jake Browning pass complete short right to Drew Sample for 11 yards (tackle by Nick Bolton),3.170,4.370
2,13:31,,,,,,Timeout #1 by Cincinnati Bengals,,
2,13:31,1,10,KAN 18,3,7,Chase Brown right end for 2 yards (tackle by George Karlaftis),4.370,4.090
2,12:51,2,8,KAN 16,3,7,Jake Browning pass complete short left to Joe Mixon for 10 yards (tackle by Trent McDuffie),4.090,5.830
2,12:09,1,6,KAN 6,3,7,Joe Mixon right guard for -1 yards (tackle by Charles Omenihu),5.830,4.760
