Quarter,Time,Tm,Detail,CIN,KAN
1.0,6:21,Bengals,Evan McPherson 34 yard field goal,3,0
,2:58,Chiefs,Isiah Pacheco 8 yard pass from Patrick Mahomes (Harrison Butker kick),3,7
2.0,11:29,Bengals,Joe Mixon 7 yard pass from Jake Browning (Evan McPherson kick),10,7
,6:23,Bengals,Jake Browning 1 yard rush (Evan McPherson kick),17,7
,3:44,Chiefs,Harrison Butker 54 yard field goal,17,10
,0:35,Chiefs,Harrison Butker 43 yard field goal,17,13
3.0,4:31,Chiefs,Harrison Butker 27 yard field goal,17,16
4.0,14:09,Chiefs,Harrison Butker 24 yard field goal,17,19
,6:18,Chiefs,Harrison Butker 48 yard field goal,17,22
,2:59,Chiefs,Harrison Butker 46 yard field goal,17,25
