Quarter,Time,Tm,Detail,NYJ,DAL
1.0,10:16,Cowboys,Marion Barber III 7 yard rush (Nick Folk kick),0,7
2.0,12:09,Cowboys,Jason Witten 25 yard pass from Tony Romo (Nick Folk kick),0,14
,6:18,Cowboys,Terence Newman 50 yard interception return (Nick Folk kick),0,21
,0:39,Jets,Mike Nugent 40 yard field goal,3,21
3.0,5:30,Cowboys,Nick Folk 46 yard field goal,3,24
4.0,11:23,Cowboys,Nick Folk 27 yard field goal,3,27
,6:12,Cowboys,Terrell Owens 22 yard pass from Tony Romo (Nick Folk kick),3,34
