Unnamed: 0,NYJ,DAL
First Downs,9,21
Rush-Yds-TDs,21-60-0,34-174-1
Cmp-Att-Yd-TD-INT,12-27-142-0-1,21-28-195-2-1
Sacked-Yards,3-22,3-25
Net Pass Yards,120,170
Total Yards,180,344
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,4-30,2-10
Third Down Conv.,2-14,4-11
Fourth Down Conv.,1-2,0-0
Time of Possession,22:08,37:52
