Quarter,Time,Down,ToGo,Location,NYJ,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,NYJ 30,,,"Mike Nugent kicks off 60 yards, returned by Miles Austin for 27 yards",,
1,14:55,1,10,DAL 37,0,0,Tony Romo up the middle for 6 yards (tackle by Kenyon Coleman),1.400,1.670
1,14:28,2,4,DAL 43,0,0,"Penalty on Flozell Adams: False Start, 5 yards (no play)",1.670,0.990
1,14:04,2,9,DAL 38,0,0,Julius Jones left tackle for no gain (tackle by Kenyon Coleman),0.990,0.300
1,13:17,3,9,DAL 38,0,0,Tony Romo pass complete short middle to Miles Austin for 17 yards (tackle by Eric Smith),0.300,2.590
1,12:38,1,10,NYJ 45,0,0,Tony Romo pass complete short right to Terrell Owens for 6 yards (tackle by Darrelle Revis),2.590,2.850
1,12:12,2,4,NYJ 39,0,0,Julius Jones left tackle for 19 yards (tackle by Darrelle Revis),2.850,4.240
1,11:30,1,10,NYJ 20,0,0,Tony Romo pass complete short right to Terrell Owens for 13 yards (tackle by Darrelle Revis),4.240,5.600
1,11:00,1,7,NYJ 7,0,0,Julius Jones up the middle for no gain (tackle by Bryan Thomas),5.600,4.760
1,10:20,2,7,NYJ 7,0,6,"Marion Barber left guard for 7 yards, touchdown",4.760,7.000
1,,,,NYJ 2,0,7,Nick Folk kicks extra point good,0.000,0.000
1,,,,DAL 30,0,7,"Nick Folk kicks off 55 yards, returned by Leon Washington for 20 yards (tackle by Kevin Burnett). Leon Washington fumbles (forced by Kevin Burnett), recovered by Courtney L. Brown at NYJ-35 (tackle by Abram Elam)",0.000,-3.250
1,10:07,1,10,NYJ 35,0,7,Tony Romo pass incomplete deep middle intended for Terrell Owens is intercepted by Kerry Rhodes at NYJ-0 and returned for 22 yards (tackle by Anthony Fasano),3.250,-0.410
1,9:55,1,10,NYJ 22,0,7,Kellen Clemens pass complete deep middle to Chris Baker for 22 yards (tackle by Ken Hamlin),0.410,1.860
1,9:24,1,10,NYJ 44,0,7,Thomas Jones up the middle for 2 yards (tackle by Bradie James),1.860,1.590
1,8:45,2,8,NYJ 46,0,7,Kellen Clemens sacked by Chris L. Canty for -9 yards,1.590,-0.300
1,8:10,3,17,NYJ 37,0,7,Kellen Clemens pass complete short left to Thomas Jones for 12 yards (tackle by Pat Watkins),-0.300,-0.130
1,7:47,4,5,NYJ 49,0,7,"Ben Graham punts 39 yards, fair catch by Terence Newman",-0.130,0.350
1,7:40,1,10,DAL 12,0,7,Marion Barber up the middle for 3 yards (tackle by Victor Hobson),-0.350,-0.500
1,7:05,2,7,DAL 15,0,7,Marion Barber right end for 4 yards (tackle by Abram Elam),-0.500,-0.600
1,6:20,3,3,DAL 19,0,7,Tony Romo pass incomplete short left intended for Terrell Owens (defended by Darrelle Revis),-0.600,-2.140
1,6:16,4,3,DAL 19,0,7,"Mat McBriar punts 50 yards, returned by Leon Washington for 5 yards (tackle by Pat Watkins). Penalty on David Barrett: Illegal Block Above the Waist, 10 yards",-2.140,-0.670
1,6:04,1,10,NYJ 26,0,7,Thomas Jones left end for -3 yards (tackle by Chris L. Canty),0.670,-0.280
1,5:27,2,13,NYJ 23,0,7,Kellen Clemens pass incomplete short right intended for Jerricho Cotchery (defended by Marcus R. Spears),-0.280,-0.960
1,5:23,3,13,NYJ 23,0,7,"Penalty on DeMarcus Ware: Defensive Offside, 5 yards (no play)",-0.960,-0.300
1,5:23,3,8,NYJ 28,0,7,Kellen Clemens sacked by Greg Ellis for -5 yards,-0.300,-1.830
1,5:05,4,13,NYJ 23,0,7,"Ben Graham punts 37 yards, returned by Terence Newman for 12 yards (tackle by Abram Elam)",-1.830,-2.390
1,4:55,1,10,NYJ 48,0,7,Tony Romo pass incomplete short left intended for Jason Witten,2.390,1.850
1,4:49,2,10,NYJ 48,0,7,"Tony Romo sacked by C.J. Mosley for -3 yards. Tony Romo fumbles (forced by C.J. Mosley), recovered by Marc Colombo at DAL-49",1.850,0.760
1,4:00,3,13,DAL 49,0,7,Tony Romo pass incomplete short middle intended for Sam Hurd (defended by Eric Smith),0.760,-0.130
1,3:52,4,13,DAL 49,0,7,"Mat McBriar punts 39 yards, fair catch by Leon Washington",-0.130,0.350
1,3:45,1,10,NYJ 12,0,7,Kellen Clemens pass complete short left to Justin McCareins for 10 yards (tackle by Terence Newman),-0.350,0.410
1,3:21,1,10,NYJ 22,0,7,Thomas Jones left tackle for -2 yards (tackle by Jason Hatcher and DeMarcus Ware),0.410,-0.400
1,3:21,2,12,NYJ 20,0,7,Kellen Clemens up the middle for 6 yards (tackle by Stephen Bowen),-0.400,-0.290
1,1:54,3,6,NYJ 26,0,7,Leon Washington up the middle for 3 yards (tackle by Jason Hatcher),-0.290,-1.440
1,1:26,4,3,NYJ 29,0,7,"Ben Graham punts 32 yards. Penalty on Abram Elam: Ineligible Downfield Kick, 5 yards",-1.440,-1.860
1,0:48,1,10,DAL 44,0,7,Julius Jones up the middle for 6 yards (tackle by Mike DeVito),1.860,2.130
1,0:36,2,4,,0,7,Julius Jones right tackle for 5 yards (tackle by Matt Chatham),2.130,2.590
Quarter,Time,Down,ToGo,Location,NYJ,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 45,0,7,Tony Romo right end for 1 yard (tackle by Hank Poteat),2.590,2.180
2,14:15,2,9,NYJ 44,0,7,Julius Jones up the middle for 5 yards (tackle by Shaun Ellis),2.180,2.150
2,13:29,3,4,NYJ 39,0,7,Tony Romo pass complete short middle to Jason Witten for 12 yards (tackle by Eric Barton),2.150,3.780
2,12:47,1,10,NYJ 27,0,7,Julius Jones right guard for 2 yards (tackle by Matt Chatham and Kenyon Coleman),3.780,3.500
2,12:15,2,8,NYJ 25,0,13,"Tony Romo pass complete deep left to Jason Witten for 25 yards, touchdown",3.500,7.000
2,,,,NYJ 2,0,14,Nick Folk kicks extra point good,0.000,0.000
2,,,,DAL 30,0,14,"Nick Folk kicks off 39 yards, returned by Chris Baker for 9 yards (tackle by Sam Hurd)",0.000,1.600
2,12:06,1,10,NYJ 40,0,14,Thomas Jones right tackle for 2 yards (tackle by Akin Ayodele and Marcus R. Spears),1.600,1.320
2,11:30,2,8,NYJ 42,0,14,Thomas Jones up the middle for 2 yards (tackle by Roy Williams and Bradie James),1.320,0.890
2,10:57,3,6,NYJ 44,0,14,Kellen Clemens pass complete short middle to Brad Smith for 5 yards (tackle by Kevin Burnett),0.890,-0.130
2,10:16,4,1,NYJ 49,0,14,"Ben Graham punts 51 yards, touchback",-0.130,-0.280
2,10:05,1,10,DAL 20,0,14,Tony Romo sacked by Eric Barton for -7 yards,0.280,-1.280
2,9:28,2,17,DAL 13,0,14,Marion Barber left tackle for 6 yards (tackle by Eric Barton),-1.280,-1.140
2,8:43,3,11,DAL 19,0,14,Tony Romo pass complete short left to Marion Barber for -2 yards (tackle by David Harris),-1.140,-2.320
