Quarter,Time,Tm,Detail,PHI,SEA
1.0,11:02,Seahawks,C.J. Prosise 72 yard rush (Stephen Hauschka kick failed),0,6
2.0,14:13,Eagles,Zach Ertz 4 yard pass from Carson Wentz (Caleb Sturgis kick),7,6
,8:20,Seahawks,Jimmy Graham 35 yard pass from Russell Wilson (Stephen Hauschka kick),7,13
,3:47,Seahawks,Stephen Hauschka 21 yard field goal,7,16
3.0,7:31,Seahawks,Russell Wilson 15 yard pass from Doug Baldwin (Stephen Hauschka kick),7,23
4.0,13:34,Seahawks,Stephen Hauschka 35 yard field goal,7,26
,3:42,Eagles,Dorial Green-Beckham 5 yard pass from Carson Wentz (Nelson Agholor pass from Carson Wentz),15,26
