Unnamed: 0,PHI,SEA
First Downs,20,18
Rush-Yds-TDs,26-113-0,30-152-1
Cmp-Att-Yd-TD-INT,23-45-218-2-2,19-32-287-2-0
Sacked-Yards,2-23,1-0
Net Pass Yards,195,287
Total Yards,308,439
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,8-48,7-48
Third Down Conv.,6-16,5-15
Fourth Down Conv.,1-3,0-0
Time of Possession,31:06,28:54
