#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,,2,0:55,50,Touchdown
2,1,11:26,CHI 34,6,2:35,53,Field Goal
3,1,3:45,CHI 39,4,2:15,18,Punt
4,2,13:31,CHI 26,3,1:19,8,Punt
5,2,9:20,CHI 5,3,1:37,7,Punt
6,2,6:31,CHI 40,10,5:15,60,Touchdown
7,2,0:17,CHI 39,1,0:17,-1,End of Half
8,3,11:05,CHI 27,3,1:39,-4,Punt
9,3,9:18,SEA 39,4,2:21,14,Downs
10,3,3:10,CHI 14,10,3:55,57,Field Goal
11,4,12:10,CHI 43,3,1:28,-9,Punt
12,4,8:08,CHI 20,4,2:25,36,Fumble
13,4,3:31,CHI 46,7,1:25,15,Downs
14,4,1:42,CHI 28,7,1:29,41,Field Goal
