Quarter,Time,Tm,Detail,CHI,SEA
1.0,14:05,Bears,Cedric Benson 43 yard rush (Robbie Gould kick),7,0
,8:51,Bears,Robbie Gould 31 yard field goal,10,0
,3:45,Seahawks,D.J. Hackett 19 yard pass from Matt Hasselbeck (Josh Brown kick),10,7
2.0,6:31,Seahawks,Maurice Morris 19 yard rush (Josh Brown kick),10,14
,1:16,Bears,Adrian Peterson 5 yard rush (Robbie Gould kick),17,14
,0:17,Seahawks,Josh Brown 40 yard field goal,17,17
3.0,11:05,Seahawks,Nate Burleson 4 yard pass from Matt Hasselbeck (Josh Brown kick),17,24
4.0,14:15,Bears,Robbie Gould 47 yard field goal,20,24
,12:10,Seahawks,Josh Brown 23 yard field goal,20,27
,3:31,Seahawks,Josh Brown 46 yard field goal,20,30
,0:13,Bears,Robbie Gould 48 yard field goal,23,30
