Unnamed: 0,CHI,SEA
First Downs,16,21
Rush-Yds-TDs,22-107-2,23-103-1
Cmp-Att-Yd-TD-INT,24-37-266-0-0,30-44-337-2-0
Sacked-Yards,5-28,2-15
Net Pass Yards,238,322
Total Yards,345,425
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,6-40,2-20
Third Down Conv.,6-16,6-16
Fourth Down Conv.,0-2,1-1
Time of Possession,28:55,31:05
