Quarter,Time,Tm,Detail,PIT,NYJ
1.0,3:25,Jets,Nick Folk 25 yard field goal,0,3
2.0,12:07,Steelers,Shaun Suisham 46 yard field goal,3,3
,5:25,Steelers,Shaun Suisham 33 yard field goal,6,3
,0:45,Steelers,Shaun Suisham 48 yard field goal,9,3
,0:02,Jets,Nick Folk 39 yard field goal,9,6
3.0,12:30,Steelers,Emmanuel Sanders 55 yard pass from Ben Roethlisberger (Shaun Suisham kick),16,6
4.0,12:09,Steelers,Shaun Suisham 32 yard field goal,19,6
