Unnamed: 0,NYG,NOR
First Downs,12,20
Rush-Yds-TDs,16-60-0,28-87-0
Cmp-Att-Yd-TD-INT,22-38-190-0-0,23-29-218-3-0
Sacked-Yards,7-57,1-9
Net Pass Yards,133,209
Total Yards,193,296
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,5-32,6-58
Third Down Conv.,2-16,6-12
Fourth Down Conv.,3-5,0-0
Time of Possession,26:33,33:27
