Quarter,Time,Tm,Detail,NYG,NOR
1.0,10:00,Giants,Randy Bullock 56 yard field goal,3,0
,0:29,Saints,Keith Kirkwood 7 yard pass from Derek Carr (Blake Grupe kick),3,7
2.0,0:00,Giants,Jamie Gillan 40 yard field goal,6,7
3.0,8:39,Saints,Juwan Johnson 23 yard pass from Derek Carr (Blake Grupe kick),6,14
,4:17,Saints,Blake Grupe 50 yard field goal,6,17
4.0,10:47,Saints,Jimmy Graham 1 yard pass from Derek Carr (Blake Grupe kick),6,24
