Unnamed: 0,BAL,CLE
First Downs,14,11
Rush-Yds-TDs,37-128-1,26-86-0
Cmp-Att-Yd-TD-INT,13-19-155-0-0,13-31-99-0-2
Sacked-Yards,2-9,4-25
Net Pass Yards,146,74
Total Yards,274,160
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,7-43,6-52
Third Down Conv.,4-14,5-16
Fourth Down Conv.,0-1,1-1
Time of Possession,31:32,28:28
