Unnamed: 0,NYG,WAS
First Downs,19,12
Rush-Yds-TDs,34-227-1,22-84-1
Cmp-Att-Yd-TD-INT,14-27-197-3-1,17-30-233-1-3
Sacked-Yards,2-22,5-29
Net Pass Yards,175,204
Total Yards,402,288
Fumbles-Lost,0-0,1-0
Turnovers,1,3
Penalties-Yards,2-18,15-135
Third Down Conv.,4-13,2-11
Fourth Down Conv.,0-0,0-1
Time of Possession,30:09,29:51
