Unnamed: 0,IND,NWE
First Downs,28,22
Rush-Yds-TDs,42-202-1,17-82-0
Cmp-Att-Yd-TD-INT,16-29-256-2-1,26-38-335-3-1
Sacked-Yards,1-12,2-15
Net Pass Yards,244,320
Total Yards,446,402
Fumbles-Lost,2-2,2-1
Turnovers,3,2
Penalties-Yards,3-20,8-55
Third Down Conv.,8-13,6-11
Fourth Down Conv.,1-1,0-0
Time of Possession,31:41,28:19
