Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Mike Vanderjagt kicks off 65 yards, returned by Bethel Johnson for 32 yards (tackle by Von Hutchins)",0.000,1.400
1,14:51,1,10,NWE 37,0,0,Tom Brady pass complete to David Givens for 19 yards (tackle by Donald Strickland),1.400,2.650
1,14:05,1,10,IND 44,0,0,Tom Brady pass complete to Deion Branch for 14 yards (tackle by Mike Doss),2.650,3.580
1,13:27,1,10,IND 30,0,0,Tom Brady pass incomplete intended for Deion Branch,3.580,3.030
1,13:23,2,10,IND 30,0,0,Tom Brady pass complete to Ben Watson for 2 yards (tackle by Rob Morris),3.030,2.610
1,12:52,3,8,IND 28,0,0,Tom Brady pass complete to Ben Watson for 14 yards (tackle by Nick Harper),2.610,4.650
1,12:12,1,10,IND 14,0,0,Tom Brady pass complete to Deion Branch for 4 yards (tackle by Nick Harper),4.650,4.710
1,11:18,2,6,IND 10,0,0,"Penalty on Tom Brady: Delay of Game, 5 yards (no play)",4.710,3.850
1,10:59,2,11,IND 15,0,0,Tom Brady pass complete to Daniel Graham for no gain,3.850,3.060
1,10:22,3,11,IND 15,0,0,Tom Brady pass incomplete intended for Ben Watson,3.060,2.440
1,10:12,4,11,IND 15,0,3,Adam Vinatieri 32 yard field goal good,2.440,3.000
1,,,,NWE 30,0,3,"Adam Vinatieri kicks off 60 yards, returned by Dominic Rhodes for 18 yards (tackle by Larry Izzo)",0.000,0.810
1,10:05,1,10,IND 28,0,3,Edgerrin James left guard for 4 yards (tackle by Tedy Bruschi and Vince Wilfork),0.810,0.800
1,9:35,2,6,IND 32,0,3,Edgerrin James up the middle for 5 yards (tackle by Ty Warren and Mike Vrabel),0.800,0.760
1,8:54,3,1,IND 37,0,3,"Edgerrin James up the middle for no gain (tackle by Willie McGinest and Mike Vrabel). Penalty on Rodney Harrison: Illegal Use of Hands, 5 yards (no play)",0.760,1.730
1,8:30,1,10,IND 42,0,3,Peyton Manning pass complete to Reggie Wayne for 42 yards (tackle by Eugene Wilson),1.730,4.510
1,7:48,1,10,NWE 16,0,3,Edgerrin James left end for 8 yards (tackle by Tyrone Poole),4.510,5.350
1,7:13,2,2,NWE 8,0,3,Edgerrin James left guard for 2 yards (tackle by Richard Seymour and Tedy Bruschi),5.350,5.830
1,6:42,1,6,NWE 6,0,3,Peyton Manning pass incomplete intended for Marcus Pollard,5.830,4.950
1,6:37,2,6,NWE 6,0,3,Peyton Manning pass incomplete intended for Dallas Clark is intercepted by Tedy Bruschi at NWE-1 and returned for 5 yards,4.950,0.380
1,6:29,1,10,NWE 6,0,3,Corey Dillon right end for 4 yards (tackle by Rob Morris and Idrees Bashir),-0.380,-0.490
1,5:44,2,6,NWE 10,0,3,"Corey Dillon right guard for 3 yards (tackle by Larry Tripplett and Robert Mathis). Penalty on Tom Ashworth: Offensive Holding, 5 yards (no play)",-0.490,-0.850
1,5:25,2,11,NWE 5,0,3,Tom Brady pass complete to Deion Branch for 21 yards (tackle by Nick Harper),-0.850,0.670
1,4:37,1,10,NWE 26,0,3,Corey Dillon up the middle for 4 yards (tackle by Rob Morris and Raheem Brock),0.670,0.670
1,3:56,2,6,NWE 30,0,3,Corey Dillon right guard for 4 yards (tackle by David Thornton),0.670,0.500
1,3:17,3,2,NWE 34,0,3,Bethel Johnson right end for -3 yards (tackle by David Thornton),0.500,-1.310
1,3:04,4,5,NWE 31,0,3,"Josh Miller punts 58 yards, returned by Brad Pyatt for 14 yards (tackle by Shawn Mayer). Penalty on Dan Klecko: Ineligible Downfield Kick, 5 yards (no play)",-1.310,-1.630
1,2:55,4,10,NWE 26,0,3,"Josh Miller punts 50 yards, returned by Brad Pyatt for 13 yards (tackle by Shawn Mayer)",-1.630,-1.400
1,2:45,1,10,IND 37,0,3,Edgerrin James right tackle for -1 yards (tackle by Mike Vrabel),1.400,0.720
1,2:16,2,11,IND 36,0,3,Peyton Manning pass complete to Edgerrin James for 6 yards (tackle by Mike Vrabel),0.720,0.830
1,1:35,3,5,IND 42,0,3,Peyton Manning pass complete to Marvin Harrison for 9 yards,0.830,2.320
1,1:09,1,10,NWE 49,0,3,Peyton Manning pass complete to Edgerrin James for 20 yards,2.320,3.640
1,0:51,1,10,NWE 29,0,3,Edgerrin James up the middle for 3 yards (tackle by Ty Warren and Roman Phifer),3.640,3.510
1,0:17,2,7,NWE 26,0,3,Edgerrin James left guard for 7 yards (tackle by Roman Phifer and Tedy Bruschi),3.510,4.310
Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 19,0,3,Dominic Rhodes up the middle for 4 yards (tackle by Roman Phifer),4.310,4.350
2,14:27,2,6,NWE 15,0,3,Peyton Manning pass incomplete intended for Dallas Clark,4.350,3.580
2,14:23,3,6,NWE 15,0,3,Peyton Manning pass complete to Marvin Harrison for 1 yard (tackle by Eugene Wilson),3.580,2.560
2,13:44,4,5,NWE 14,3,3,Mike Vanderjagt 32 yard field goal good,2.560,3.000
2,,,,IND 30,3,3,"Mike Vanderjagt kicks off 67 yards, returned by Bethel Johnson for 15 yards (tackle by Gary Brackett)",0.000,0.040
2,13:33,1,10,NWE 18,3,3,Tom Brady pass complete to Deion Branch for 2 yards (tackle by Donald Strickland),0.040,-0.130
2,13:04,2,8,NWE 20,3,3,Tom Brady pass complete to Daniel Graham for 6 yards (tackle by Nick Harper),-0.130,-0.140
2,12:24,3,2,NWE 26,3,3,Tom Brady pass incomplete intended for Deion Branch,-0.140,-1.630
2,12:21,4,2,NWE 26,3,3,"Josh Miller punts 40 yards, fair catch by Brad Pyatt",-1.630,-1.200
2,12:14,1,10,IND 34,3,3,Edgerrin James right tackle for 5 yards (tackle by Ty Warren and Tedy Bruschi),1.200,1.330
2,11:43,2,5,IND 39,3,3,Edgerrin James up the middle for 7 yards (tackle by Ty Warren and Roman Phifer),1.330,1.990
2,11:15,1,10,IND 46,3,3,Edgerrin James up the middle for 9 yards (tackle by Roman Phifer and Rosevelt Colvin),1.990,2.670
2,10:42,2,1,NWE 45,3,3,Dominic Rhodes left tackle for 2 yards (tackle by Keith Traylor and Tedy Bruschi),2.670,2.720
2,10:12,1,10,NWE 43,3,3,Dominic Rhodes right guard for 13 yards (tackle by Eugene Wilson),2.720,3.580
2,9:39,1,10,NWE 30,3,3,Edgerrin James right guard for 8 yards (tackle by Roman Phifer and Rodney Harrison),3.580,4.110
2,9:11,2,2,NWE 22,3,3,Edgerrin James left tackle for 16 yards (tackle by Rodney Harrison and Rosevelt Colvin),4.110,5.830
2,8:41,1,6,NWE 6,3,3,Dominic Rhodes right guard for 3 yards (tackle by Ted Johnson and Willie McGinest),5.830,5.530
2,8:06,2,3,NWE 3,9,3,"Dominic Rhodes left guard for 3 yards, touchdown",5.530,7.000
2,,,,NWE 2,10,3,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,IND 30,10,3,"Mike Vanderjagt kicks off 65 yards, returned by Bethel Johnson for 20 yards",,
2,7:51,1,10,NWE 25,10,3,Corey Dillon right guard for 38 yards (tackle by Donald Strickland and Nick Harper),0.610,3.120
2,7:01,1,10,IND 37,10,3,Corey Dillon left tackle for 7 yards (tackle by Donald Strickland and Montae Reagor),3.120,3.520
2,6:23,2,3,IND 30,10,3,Corey Dillon up the middle for 1 yard (tackle by Cato June and Larry Tripplett),3.520,2.940
2,5:48,3,2,IND 29,10,3,Tom Brady pass complete to Bethel Johnson for 5 yards (tackle by Donald Strickland),2.940,3.970
2,5:07,1,10,IND 24,10,3,Tom Brady sacked by Dwight Freeney for -7 yards,3.970,2.490
2,4:34,2,17,IND 31,10,3,Tom Brady pass complete to David Patten for 20 yards (tackle by David Thornton),2.490,4.840
2,3:48,1,10,IND 11,10,3,Corey Dillon up the middle for -5 yards (tackle by Montae Reagor),4.840,3.440
2,3:07,2,15,IND 16,10,9,"Tom Brady pass complete to Deion Branch for 16 yards, touchdown",3.440,7.000
2,,,,IND 2,10,10,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,NWE 30,10,10,"Adam Vinatieri kicks off 65 yards, returned by Dominic Rhodes for 25 yards (tackle by Larry Izzo). Penalty on Rob Morris: Illegal Block Above the Waist, 10 yards",0.000,0.040
2,2:58,1,10,IND 18,10,10,Peyton Manning pass complete to Dallas Clark for 64 yards (tackle by Ty Law),0.040,4.370
2,2:20,1,10,NWE 18,10,10,Edgerrin James up the middle for 2 yards (tackle by Ted Johnson and Roman Phifer),4.370,4.090
2,2:00,2,8,NWE 16,10,10,Edgerrin James left tackle for 3 yards (tackle by Keith Traylor and Vince Wilfork),4.090,3.820
2,1:51,,,,10,10,Timeout #1 by New England Patriots,0.000,3.820
2,1:51,3,5,NWE 13,10,10,Peyton Manning pass complete to Marvin Harrison for 8 yards (tackle by Tyrone Poole),3.820,6.060
2,1:30,1,5,NWE 5,10,10,"Edgerrin James up the middle for 4 yards (tackle by Richard Seymour and Eugene Wilson). Penalty on Rodney Harrison: Encroachment, 3 yards (no play)",6.060,6.740
2,1:25,,,,10,10,Timeout #2 by New England Patriots,0.000,6.740
2,1:25,1,2,NWE 2,10,10,Peyton Manning right end for -1 yards (tackle by Roman Phifer and Ty Warren),6.740,5.530
2,0:48,2,3,NWE 3,10,10,Peyton Manning pass incomplete intended for Reggie Wayne (defended by Asante Samuel),5.530,4.720
2,0:45,3,3,NWE 3,16,10,"Peyton Manning pass complete to Marvin Harrison for 3 yards, touchdown",4.720,7.000
