Unnamed: 0,CAR,IND
First Downs,22,17
Rush-Yds-TDs,35-201-3,23-105-1
Cmp-Att-Yd-TD-INT,20-27-208-0-0,15-29-226-1-2
Sacked-Yards,3-32,2-8
Net Pass Yards,176,218
Total Yards,377,323
Fumbles-Lost,1-1,1-0
Turnovers,1,2
Penalties-Yards,6-92,2-15
Third Down Conv.,6-12,1-9
Fourth Down Conv.,0-0,1-1
Time of Possession,36:17,23:43
