Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 73 yards, returned by Cordarrelle Patterson for 33 yards",0.000,-0.610
1,14:55,1,10,MIN 25,0,0,Adrian Peterson middle for no gain (tackle by Ezekiel Ansah),0.610,0.060
1,14:26,2,10,MIN 25,0,0,Adrian Peterson left tackle for 11 yards (tackle by Glover Quin and Ezekiel Ansah),0.060,1.330
1,13:57,1,10,MIN 36,0,0,Adrian Peterson middle for 2 yards (tackle by Jason Jones),1.330,1.060
1,13:27,2,8,MIN 38,0,0,Teddy Bridgewater pass incomplete short right intended for Jarius Wright (defended by Haloti Ngata),1.060,0.370
1,13:25,3,8,MIN 38,0,0,Teddy Bridgewater pass complete deep right to Jarius Wright for 17 yards,0.370,2.590
1,13:17,1,10,DET 45,0,0,Adrian Peterson right guard for 25 yards (tackle by Darius Slay),2.590,4.240
1,12:49,1,10,DET 20,0,0,Adrian Peterson middle for 5 yards (tackle by Gabe Wright and Stephen Tulloch),4.240,4.450
1,12:15,2,5,DET 15,0,0,Adrian Peterson right tackle for 2 yards (tackle by Phillip Hunt and Stephen Tulloch),4.450,4.100
1,11:40,3,3,DET 13,0,0,Teddy Bridgewater middle for 8 yards (tackle by Glover Quin),4.100,6.060
1,11:03,1,5,DET 5,0,0,Adrian Peterson middle for no gain (tackle by Josh Bynes and Stephen Tulloch),6.060,5.150
1,10:29,2,5,DET 5,0,6,"Teddy Bridgewater pass complete short right to Kyle Rudolph for 5 yards, touchdown",5.150,7.000
1,10:29,,,DET 5,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,10:29,,,MIN 35,0,7,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,10:25,1,10,DET 20,0,7,Matthew Stafford pass incomplete short right intended for Eric Ebron,0.280,-0.270
