Unnamed: 0,DET,MIN
First Downs,25,20
Rush-Yds-TDs,16-38-0,42-199-2
Cmp-Att-Yd-TD-INT,32-53-286-2-1,14-18-153-1-0
Sacked-Yards,1-1,1-2
Net Pass Yards,285,151
Total Yards,323,350
Fumbles-Lost,2-2,2-1
Turnovers,3,1
Penalties-Yards,6-39,10-97
Third Down Conv.,6-13,7-14
Fourth Down Conv.,2-2,1-1
Time of Possession,28:54,31:06
