Quarter,Time,Tm,Detail,SDG,DEN
1.0,8:41,Broncos,Michael Pittman 1 yard rush (Matt Prater kick),0,7
,3:47,Chargers,Nate Kaeding 34 yard field goal,3,7
2.0,13:48,Broncos,Tony Scheffler 3 yard pass from Jay Cutler (Matt Prater kick),3,14
,10:42,Broncos,Tony Scheffler 14 yard pass from Jay Cutler (Matt Prater kick),3,21
,10:28,Chargers,Darren Sproles 103 yard kickoff return (Nate Kaeding kick),10,21
,5:53,Broncos,Matt Prater 52 yard field goal,10,24
,2:25,Chargers,Chris Chambers 48 yard pass from Philip Rivers (Nate Kaeding kick),17,24
,0:02,Broncos,Brandon Marshall 6 yard pass from Jay Cutler (Matt Prater kick),17,31
3.0,10:44,Chargers,Chris Chambers 15 yard pass from Philip Rivers (Nate Kaeding kick),24,31
,7:29,Chargers,Nate Kaeding 21 yard field goal,27,31
4.0,14:08,Chargers,Nate Kaeding 28 yard field goal,30,31
,4:22,Chargers,Darren Sproles 66 yard pass from Philip Rivers (Legedu Naanee pass from Philip Rivers),38,31
,0:24,Broncos,Eddie Royal 4 yard pass from Jay Cutler (Eddie Royal pass from Jay Cutler),38,39
