Unnamed: 0,SDG,DEN
First Downs,19,34
Rush-Yds-TDs,18-80-0,24-145-1
Cmp-Att-Yd-TD-INT,21-33-377-3-1,36-50-350-4-1
Sacked-Yards,1-1,1-9
Net Pass Yards,376,341
Total Yards,456,486
Fumbles-Lost,1-0,2-0
Turnovers,1,1
Penalties-Yards,8-60,7-67
Third Down Conv.,6-10,4-10
Fourth Down Conv.,0-0,1-1
Time of Possession,26:00,34:00
