Unnamed: 0,TAM,IND
First Downs,21,23
Rush-Yds-TDs,21-132-0,26-27-0
Cmp-Att-Yd-TD-INT,20-36-245-1-1,26-42-315-2-0
Sacked-Yards,5-33,3-6
Net Pass Yards,212,309
Total Yards,344,336
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,12-95,6-45
Third Down Conv.,6-13,7-16
Fourth Down Conv.,0-1,0-0
Time of Possession,27:35,32:25
