Quarter,Time,Tm,Detail,TAM,IND
1.0,8:13,Colts,Adam Vinatieri 49 yard field goal,0,3
,2:50,Buccaneers,Connor Barth 38 yard field goal,3,3
2.0,12:44,Colts,Adam Vinatieri 27 yard field goal,3,6
,5:38,Buccaneers,Connor Barth 30 yard field goal,6,6
,1:54,Buccaneers,Cameron Brate 20 yard pass from Jameis Winston (Connor Barth kick failed),12,6
3.0,10:01,Colts,Adam Vinatieri 26 yard field goal,12,9
,7:22,Colts,T.Y. Hilton 19 yard pass from Matt Hasselbeck (Adam Vinatieri kick),12,16
,1:02,Colts,Adam Vinatieri 44 yard field goal,12,19
4.0,5:53,Colts,T.Y. Hilton 3 yard pass from Matt Hasselbeck (Adam Vinatieri kick failed),12,25
