Unnamed: 0,GNB,SFO
First Downs,19,13
Rush-Yds-TDs,34-139-1,25-146-1
Cmp-Att-Yd-TD-INT,22-34-293-2-0,12-29-201-1-2
Sacked-Yards,1-12,1-7
Net Pass Yards,281,194
Total Yards,420,340
Fumbles-Lost,1-0,1-1
Turnovers,0,3
Penalties-Yards,2-10,4-25
Third Down Conv.,6-15,3-12
Fourth Down Conv.,0-1,1-1
Time of Possession,33:31,26:29
