Quarter,Time,Tm,Detail,NYJ,ATL
1.0,5:35,Falcons,Michael Vick 1 yard rush (Todd Peterson kick),0,7
,0:42,Falcons,Todd Peterson 22 yard field goal,0,10
2.0,12:23,Falcons,Chauncey Davis 24 yard defensive fumble return (Todd Peterson kick),0,17
,6:58,Falcons,Todd Peterson 41 yard field goal,0,20
,2:49,Jets,Vinny Testaverde 1 yard rush (Mike Nugent kick),7,20
3.0,6:35,Falcons,Michael Vick 1 yard rush (Todd Peterson kick),7,27
4.0,11:52,Jets,Curtis Martin 1 yard rush (Mike Nugent kick),14,27
