Unnamed: 0,NYJ,ATL
First Downs,16,19
Rush-Yds-TDs,18-37-2,38-205-2
Cmp-Att-Yd-TD-INT,23-38-234-0-1,11-26-116-0-3
Sacked-Yards,4-40,3-11
Net Pass Yards,194,105
Total Yards,231,310
Fumbles-Lost,4-3,2-0
Turnovers,4,3
Penalties-Yards,5-44,4-30
Third Down Conv.,4-13,6-16
Fourth Down Conv.,2-3,2-2
Time of Possession,26:38,33:22
