Unnamed: 0,SEA,CIN
First Downs,24,19
Rush-Yds-TDs,24-121-0,34-194-1
Cmp-Att-Yd-TD-INT,26-43-344-3-3,18-30-226-2-0
Sacked-Yards,2-6,2-8
Net Pass Yards,338,218
Total Yards,459,412
Fumbles-Lost,2-2,0-0
Turnovers,5,0
Penalties-Yards,5-30,7-60
Third Down Conv.,8-14,7-16
Fourth Down Conv.,1-1,1-1
Time of Possession,27:34,32:26
