Quarter,Time,Tm,Detail,IND,MIA
1.0,14:48,Colts,Dallas Clark 80 yard pass from Peyton Manning (Adam Vinatieri kick),7,0
,8:42,Dolphins,Ronnie Brown 14 yard rush (Dan Carpenter kick),7,7
2.0,13:21,Dolphins,Dan Carpenter 45 yard field goal,7,10
,9:14,Colts,Adam Vinatieri 43 yard field goal,10,10
,0:43,Dolphins,Dan Carpenter 44 yard field goal,10,13
,0:00,Colts,Adam Vinatieri 48 yard field goal,13,13
4.0,13:23,Dolphins,Ronnie Brown 3 yard rush (Dan Carpenter kick),13,20
,10:06,Colts,Donald Brown 15 yard rush (Adam Vinatieri kick),20,20
,3:50,Dolphins,Dan Carpenter 45 yard field goal,20,23
,3:18,Colts,Pierre Garcon 48 yard pass from Peyton Manning (Adam Vinatieri kick),27,23
