Quarter,Time,Down,ToGo,Location,IND,MIA,Detail,EPB,EPA
2,11:33,3,8,MIA 41,7,10,"Joseph Addai right tackle for -3 yards (tackle by Jason Taylor). Penalty on Kendall Langford: Defensive 12 On-field, 5 yards (no play)",1.750,2.410
2,11:02,,,,7,10,Timeout #1 by Indianapolis Colts,0.000,2.410
2,11:02,3,3,MIA 36,7,10,Peyton Manning pass complete short left to Reggie Wayne for 6 yards (tackle by Nate Jones),2.410,3.580
2,10:30,1,10,MIA 30,7,10,Peyton Manning pass incomplete deep middle intended for Gijon Robinson,3.580,3.030
2,10:25,2,10,MIA 30,7,10,Joseph Addai right end for no gain (tackle by Will Allen),3.030,2.340
2,9:56,3,10,MIA 30,7,10,Peyton Manning pass complete short right to Dallas Clark for 5 yards (tackle by Yeremiah Bell),2.340,1.850
2,9:20,4,5,MIA 25,10,10,Adam Vinatieri 43 yard field goal good,1.850,3.000
2,,,,IND 30,10,10,"Pat McAfee kicks off 70 yards, touchback",0.000,0.280
2,9:14,1,10,MIA 20,10,10,Chad Pennington pass complete short right to Brian Hartline for 5 yards (tackle by Kelvin Hayden),0.280,0.410
2,8:36,2,5,MIA 25,10,10,Ronnie Brown right tackle for no gain (tackle by Tyjuan Hagler),0.410,-0.300
2,7:51,3,5,MIA 25,10,10,Chad Pennington pass complete short left to Greg Camarillo for 10 yards (tackle by Tim Jennings and Marlin Jackson),-0.300,1.270
2,7:08,1,10,MIA 35,10,10,Ronnie Brown right guard for 2 yards (tackle by Edward Johnson),1.270,0.990
2,6:29,2,8,MIA 37,10,10,Ronnie Brown left end for 13 yards (tackle by Gary Brackett),0.990,2.260
2,5:55,1,10,,10,10,Chad Pennington pass incomplete deep middle intended for Ted Ginn,2.260,1.710
2,5:50,2,10,,10,10,"Ronnie Brown middle for no gain (tackle by Antonio Johnson). Penalty on Antonio Johnson: Defensive Offside, 5 yards (no play)",1.710,2.390
2,5:23,2,5,IND 45,10,10,Chad Pennington pass incomplete short right intended for Patrick Cobbs (defended by Tyjuan Hagler),2.390,1.690
2,5:18,3,5,IND 45,10,10,Chad Pennington sacked by Dwight Freeney for -10 yards,1.690,-0.390
2,4:51,4,15,MIA 45,10,10,"Brandon Fields punts 44 yards, returned by T.J. Rushing for 2 yards",-0.390,0.320
2,4:41,1,10,IND 13,10,10,Donald Brown right tackle for 4 yards (tackle by Akin Ayodele),-0.320,-0.300
2,4:05,2,6,IND 17,10,10,Peyton Manning left guard for 3 yards,-0.300,-0.590
2,3:23,3,3,IND 20,10,10,Peyton Manning pass incomplete deep middle intended for Austin Collie (defended by Nate Jones),-0.590,-2.030
2,3:18,4,3,IND 20,10,10,Pat McAfee punts 40 yards,-2.030,-1.600
2,3:06,1,10,MIA 40,10,10,Ricky Williams right tackle for 7 yards (tackle by Kelvin Hayden),1.600,2.000
2,2:31,2,3,MIA 47,10,10,Ricky Williams middle for 1 yard (tackle by Raheem Brock),2.000,1.420
2,2:00,3,2,MIA 48,10,10,Lousaka Polite right guard for 3 yards (tackle by Gary Brackett),1.420,2.320
2,1:32,1,10,IND 49,10,10,Ricky Williams left guard for 8 yards (tackle by Marlin Jackson),2.320,2.860
2,1:14,2,2,IND 41,10,10,Chad Pennington pass complete short right to Davone Bess for 6 yards,2.860,3.250
2,1:08,1,10,IND 35,10,10,Chad Pennington pass complete short left to Greg Camarillo for 1 yard (tackle by Tim Jennings),3.250,2.840
2,1:01,2,9,IND 34,10,10,Ronnie Brown middle for 2 yards (tackle by Eric Foster),2.840,2.410
2,0:56,,,,10,10,Timeout #1 by Miami Dolphins,0.000,2.410
2,0:56,3,7,IND 32,10,10,Ricky Williams middle for 5 yards (tackle by Gary Brackett),2.410,1.800
2,0:47,,,,10,10,Timeout #2 by Indianapolis Colts,0.000,1.800
2,0:47,4,2,IND 27,10,13,Dan Carpenter 44 yard field goal good,1.800,3.000
2,,,,MIA 30,10,13,"Dan Carpenter kicks off 58 yards, returned by Chad Simpson for 14 yards (tackle by Reggie Torbor)",0.000,0.670
2,0:35,1,10,IND 26,10,13,Peyton Manning pass complete short left to Donald Brown for 24 yards,0.670,2.260
2,0:28,1,10,,10,13,Peyton Manning pass incomplete short left intended for Dallas Clark,2.260,1.710
2,0:23,2,10,,10,13,"Peyton Manning pass complete short middle to Dallas Clark for 14 yards (tackle by Yeremiah Bell). Penalty on IND: Illegal Formation, 5 yards (no play)",1.710,1.040
2,0:14,2,15,IND 45,10,13,Peyton Manning pass incomplete deep left intended for Reggie Wayne (defended by Sean Smith),1.040,0.370
,,,,,,,"IND challenged the incomplete pass ruling, and the original play was overturned.",,
2,0:08,3,15,IND 45,10,13,"Penalty on Tony McDaniel: Encroachment, 5 yards (no play)",0.370,1.030
2,0:08,3,10,,10,13,Peyton Manning pass complete deep left to Dallas Clark for 20 yards,1.030,3.580
2,0:02,1,10,MIA 30,13,13,Adam Vinatieri 48 yard field goal good,3.580,3.000
Quarter,Time,Down,ToGo,Location,IND,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,13,13,"Pat McAfee kicks off 64 yards, returned by Patrick Cobbs for 19 yards (tackle by Clint Session)",0.000,0.610
3,14:53,1,10,MIA 25,13,13,Ronnie Brown middle for 3 yards (tackle by Antonio Johnson),0.610,0.470
3,14:22,2,7,MIA 28,13,13,Ronnie Brown left tackle for 2 yards (tackle by Antoine Bethea and Clint Session),0.470,0.040
3,13:42,3,5,MIA 30,13,13,Chad Pennington pass complete short left to Ted Ginn for 10 yards (tackle by Antoine Bethea),0.040,1.600
3,13:12,1,10,MIA 40,13,13,Chad Pennington pass complete short right to Greg Camarillo for no gain,1.600,1.050
3,12:32,2,10,MIA 40,13,13,Ricky Williams right tackle for 15 yards (tackle by Kelvin Hayden). Penalty on Eric Foster: Defensive Offside (Declined),1.050,2.590
3,12:06,1,10,IND 45,13,13,Ronnie Brown left guard for 2 yards (tackle by Gary Brackett),2.590,2.310
3,11:29,2,8,IND 43,13,13,Chad Pennington pass complete short left to Ted Ginn for 7 yards (tackle by Tim Jennings),2.310,2.540
3,10:56,3,1,IND 36,13,13,Lousaka Polite middle for 2 yards (tackle by Gary Brackett),2.540,3.310
3,10:16,1,10,IND 34,13,13,Ricky Williams middle for no gain (tackle by Clint Session),3.310,2.770
3,9:37,2,10,IND 34,13,13,Chad Pennington pass complete short right to Ricky Williams for 3 yards (tackle by Tyjuan Hagler),2.770,2.480
3,8:49,3,7,IND 31,13,13,Chad Pennington pass incomplete short middle intended for Ronnie Brown (defended by Eric Foster),2.480,1.320
3,8:43,4,7,IND 31,13,13,Dan Carpenter 49 yard field goal no good,1.320,-1.600
3,8:38,1,10,IND 40,13,13,Peyton Manning sacked by Joey Porter for -8 yards,1.600,-0.030
3,8:02,2,18,IND 32,13,13,Peyton Manning pass complete short right to Joseph Addai for 7 yards (tackle by Will Allen),-0.030,0.230
3,7:27,3,11,IND 39,13,13,Peyton Manning pass incomplete deep left intended for Reggie Wayne,0.230,-0.780
3,7:20,4,11,IND 39,13,13,"Pat McAfee punts 49 yards, returned by Davone Bess for 8 yards (tackle by Aaron Francisco)",-0.780,-0.280
3,7:08,1,10,MIA 20,13,13,Ronnie Brown left tackle for 5 yards (tackle by Edward Johnson),0.280,0.410
3,6:32,2,5,MIA 25,13,13,Ronnie Brown left end for 2 yards (tackle by Melvin Bullitt),0.410,-0.030
3,5:49,3,3,MIA 27,13,13,Chad Pennington pass complete short middle to Davone Bess for 5 yards (tackle by Clint Session),-0.030,1.070
3,5:06,1,10,MIA 32,13,13,Ronnie Brown middle for 14 yards (tackle by Antoine Bethea and Tim Jennings),1.070,1.990
3,4:27,1,10,MIA 46,13,13,Patrick Cobbs left end for 19 yards (tackle by Melvin Bullitt),1.990,3.250
3,3:39,1,10,IND 35,13,13,Ricky Williams middle for 2 yards (tackle by Edward Johnson),3.250,2.970
3,2:54,2,8,IND 33,13,13,Ricky Williams middle for 2 yards (tackle by Gary Brackett),2.970,2.540
3,2:10,3,6,IND 31,13,13,Chad Pennington pass complete short right to Ted Ginn for 7 yards,2.540,3.970
3,1:41,1,10,IND 24,13,13,Ricky Williams right end for 8 yards (tackle by Daniel Muir),3.970,4.650
3,0:57,2,2,IND 16,13,13,Ronnie Brown left tackle for 4 yards (tackle by Keyunta Dawson),4.650,4.780
3,0:15,1,10,IND 12,13,13,"Ronnie Brown right tackle for 6 yards (tackle by Tyjuan Hagler). Penalty on Antonio Johnson: Defensive Offside, 5 yards (no play)",4.780,5.930
Quarter,Time,Down,ToGo,Location,IND,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,5,IND 7,13,13,Lousaka Polite middle for 2 yards (tackle by Antonio Johnson),5.930,5.410
4,14:16,2,3,IND 5,13,13,Ricky Williams right guard for 2 yards (tackle by Edward Johnson),5.410,5.060
4,13:29,3,1,IND 3,13,19,"Ronnie Brown middle for 3 yards, touchdown",5.060,7.000
4,,,,IND 2,13,20,Dan Carpenter kicks extra point good,0.000,0.000
4,,,,MIA 30,13,20,"Dan Carpenter kicks off 68 yards, returned by Chad Simpson for 19 yards (tackle by Patrick Cobbs)",0.000,0.340
4,13:17,1,10,IND 21,13,20,Donald Brown left tackle for 3 yards (tackle by Kendall Langford),0.340,0.210
4,12:37,2,7,IND 24,13,20,Peyton Manning pass complete deep middle to Dallas Clark for 49 yards (tackle by Yeremiah Bell),0.210,3.780
4,11:59,1,10,MIA 27,13,20,Donald Brown left guard for 4 yards (tackle by Phillip Merling),3.780,3.770
4,11:28,2,6,MIA 23,13,20,Peyton Manning pass complete short right to Dallas Clark for 4 yards (tackle by Yeremiah Bell),3.770,3.640
4,10:44,3,2,MIA 19,13,20,Peyton Manning pass complete short left to Austin Collie for 4 yards (tackle by Nate Jones),3.640,4.580
4,10:12,1,10,MIA 15,19,20,"Donald Brown middle for 15 yards, touchdown",4.580,7.000
4,,,,MIA 2,20,20,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,IND 30,20,20,"Pat McAfee kicks off 73 yards, returned by Patrick Cobbs for 25 yards (tackle by Keyunta Dawson)",0.000,0.410
4,10:00,1,10,MIA 22,20,20,Chad Pennington pass incomplete short left intended for Ted Ginn,0.410,-0.130
4,9:54,2,10,MIA 22,20,20,Ricky Williams middle for no gain (tackle by Antoine Bethea),-0.130,-0.820
4,9:14,3,10,MIA 22,20,20,"Chad Pennington pass complete short right to Davone Bess for 6 yards (tackle by Kelvin Hayden). Penalty on Robert Mathis: Defensive Offside, 5 yards (no play)",-0.820,-0.160
4,8:44,3,5,MIA 27,20,20,Chad Pennington pass complete short middle to Ted Ginn for 15 yards (tackle by Melvin Bullitt),-0.160,1.730
4,8:04,1,10,MIA 42,20,20,Ronnie Brown right guard for 5 yards (tackle by Daniel Muir),1.730,1.860
4,7:29,2,5,MIA 47,20,20,Ricky Williams right end for -2 yards (tackle by Tyjuan Hagler),1.860,0.890
4,6:43,3,7,MIA 45,20,20,Chad Pennington pass complete deep middle to Ted Ginn for 21 yards (tackle by Melvin Bullitt),0.890,3.310
4,5:58,1,10,IND 34,20,20,Chad Pennington pass complete short right to Ted Ginn for no gain,3.310,2.770
4,5:11,,,,20,20,Timeout #1 by Miami Dolphins,0.000,2.770
4,5:11,2,10,IND 34,20,20,Ronnie Brown left end for 4 yards (tackle by Jacob Lacey and Dwight Freeney),2.770,2.610
4,4:33,3,6,IND 30,20,20,Ronnie Brown left guard for 3 yards (tackle by Clint Session and Dwight Freeney),2.610,1.770
4,3:55,4,3,IND 27,20,23,Dan Carpenter 45 yard field goal good,1.770,3.000
4,,,,MIA 30,20,23,"Dan Carpenter kicks off 64 yards, returned by Chad Simpson for 14 yards (tackle by Lex Hilliard)",0.000,0.280
4,3:44,1,10,IND 20,20,23,Peyton Manning pass complete short left to Reggie Wayne for 15 yards (tackle by Sean Smith),0.280,1.270
4,3:39,1,10,IND 35,20,23,Peyton Manning pass complete short left to Dallas Clark for 17 yards,1.270,2.390
4,3:34,1,10,MIA 48,20,23,Peyton Manning pass incomplete deep right intended for Pierre Garcon,2.390,1.850
4,3:29,2,10,MIA 48,26,23,"Peyton Manning pass complete short right to Pierre Garcon for 48 yards, touchdown",1.850,7.000
4,,,,MIA 2,27,23,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,IND 30,27,23,"Pat McAfee kicks off 76 yards, returned by Patrick Cobbs for 24 yards (tackle by Aaron Francisco)",0.000,0.040
4,3:13,1,10,MIA 18,27,23,Ronnie Brown left tackle for 1 yard (tackle by Dwight Freeney),0.040,-0.320
4,2:26,,,,27,23,Timeout #2 by Miami Dolphins,0.000,-0.320
4,2:26,2,9,MIA 19,27,23,Ronnie Brown right tackle for 5 yards (tackle by Eric Foster),-0.320,-0.400
4,2:00,3,4,MIA 24,27,23,Chad Pennington pass complete short middle to Ted Ginn for 11 yards (tackle by Melvin Bullitt),-0.400,1.270
4,1:39,1,10,MIA 35,27,23,Chad Pennington pass complete short left to Ted Ginn for 9 yards,1.270,1.940
4,1:33,2,1,MIA 44,27,23,Chad Pennington pass complete short right to Anthony Fasano for 1 yard (tackle by Tim Jennings),1.940,1.930
4,1:10,1,10,MIA 45,27,23,"Chad Pennington sacked by Robert Mathis for -9 yards. Chad Pennington fumbles (forced by Robert Mathis), recovered by Vernon Carey at MIA-35 and returned for 1 yards",1.930,0.170
4,0:56,,,,27,23,Timeout #3 by Miami Dolphins,0.000,0.170
4,0:56,2,19,MIA 36,27,23,Chad Pennington pass complete deep left to Davone Bess for 18 yards. Penalty on Dwight Freeney: Defensive Offside (Declined),0.170,1.880
4,0:50,3,1,IND 46,27,23,Chad Pennington middle for 4 yards (tackle by Eric Foster),1.880,2.790
4,0:41,1,10,IND 42,27,23,Chad Pennington spiked the ball,2.790,2.240
4,0:35,2,10,IND 42,27,23,Chad Pennington pass incomplete deep middle intended for Ted Ginn,2.240,1.550
4,0:27,3,10,IND 42,27,23,Chad Pennington pass incomplete deep left intended for Ted Ginn,1.550,0.460
4,0:22,4,10,IND 42,27,23,Chad Pennington pass complete short middle to Ted Ginn for 12 yards (tackle by Jacob Lacey),0.460,3.580
4,0:12,1,10,IND 30,27,23,Chad Pennington spiked the ball,3.580,3.030
4,0:06,2,10,IND 30,27,23,Chad Pennington pass incomplete deep right intended for Brian Hartline is intercepted by Antoine Bethea,3.030,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
