Unnamed: 0,PIT,MIN
First Downs,29,16
Rush-Yds-TDs,21-77-2,25-145-2
Cmp-Att-Yd-TD-INT,36-51-383-1-1,16-25-248-2-0
Sacked-Yards,5-26,1-0
Net Pass Yards,357,248
Total Yards,434,393
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,4-50,5-89
Third Down Conv.,8-15,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,36:27,23:33
