Quarter,Time,Down,ToGo,Location,PIT,MIN,Detail,EPB,EPA
1,7:22,2,4,PIT 31,0,10,Antonio Brown left end for 10 yards (tackle by Kevin Williams),0.870,1.660
1,6:41,1,10,PIT 41,0,10,Ben Roethlisberger pass incomplete short left intended for Le'Veon Bell,1.660,1.120
1,6:35,2,10,PIT 41,0,10,Ben Roethlisberger pass complete deep right to Emmanuel Sanders for 36 yards (tackle by Josh Robinson),1.120,4.040
1,5:53,1,10,MIN 23,0,10,Le'Veon Bell right end for no gain (tackle by Erin Henderson),4.040,3.500
1,5:11,2,10,MIN 23,0,10,Ben Roethlisberger pass complete short right to David Johnson for 8 yards (tackle by Chad Greenway),3.500,4.050
1,4:48,3,2,MIN 15,0,10,Ben Roethlisberger pass complete short right to Antonio Brown for 7 yards (tackle by Xavier Rhodes),4.050,5.370
1,4:08,1,8,MIN 8,6,10,"Le'Veon Bell right tackle for 8 yards, touchdown",5.370,7.000
1,4:08,,,MIN 2,7,10,Shaun Suisham kicks extra point good,0.000,0.000
1,4:08,,,PIT 35,7,10,"Shaun Suisham kicks off 61 yards, returned by Cordarrelle Patterson for 12 yards (tackle by Terence Garvin)",0.000,0.140
1,3:57,1,10,MIN 16,7,10,Adrian Peterson left end for no gain (tackle by Brett Keisel),-0.140,-0.660
1,3:26,2,10,MIN 16,7,10,Adrian Peterson left guard for 2 yards (tackle by Steve McLendon),-0.660,-1.070
1,2:44,3,8,MIN 18,7,10,Matt Cassel pass incomplete short left intended for Joe Webb,-1.070,-2.240
1,2:39,4,8,MIN 18,7,10,"Jeff Locke punts 37 yards, fair catch by Antonio Brown",-2.240,-1.930
1,2:33,1,10,PIT 45,7,10,Ben Roethlisberger pass incomplete short middle intended for Emmanuel Sanders (defended by Marvin Mitchell),1.930,1.380
1,2:26,2,10,PIT 45,7,10,Ben Roethlisberger pass complete short right to Le'Veon Bell for 7 yards (tackle by Josh Robinson),1.380,1.620
1,1:39,3,3,MIN 48,7,10,Ben Roethlisberger pass incomplete short middle intended for Heath Miller,1.620,0.070
1,1:34,4,3,MIN 48,7,10,"Zoltan Mesko punts 33 yards, fair catch by Marcus Sherels",0.070,0.220
1,1:27,1,10,MIN 15,7,10,Matt Cassel pass incomplete deep middle intended for Jerome Simpson,-0.220,-0.710
1,1:20,2,10,MIN 15,7,10,Adrian Peterson left guard for 5 yards (tackle by Steve McLendon),-0.710,-0.760
1,0:39,3,5,MIN 20,7,10,Matt Cassel pass incomplete short right intended for Jerome Simpson (defended by Ike Taylor),-0.760,-2.030
1,0:34,4,5,MIN 20,7,10,"Jeff Locke punts 57 yards, fair catch by Antonio Brown",-2.030,-0.480
1,0:26,1,10,PIT 23,7,10,Felix Jones right guard for 1 yard (tackle by Fred Evans),0.480,0.070
Quarter,Time,Down,ToGo,Location,PIT,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,PIT 24,7,10,"Ben Roethlisberger pass complete short left to Antonio Brown for 7 yards (tackle by Erin Henderson). Penalty on Mike Adams: Offensive Holding, 10 yards (no play)",0.070,-1.400
2,14:32,2,19,PIT 14,7,10,Felix Jones up the middle for 2 yards (tackle by Jared Allen),-1.400,-1.960
2,13:49,3,17,PIT 16,7,10,Ben Roethlisberger pass complete short right to Antonio Brown for 14 yards (tackle by Harrison Smith),-1.960,-1.370
2,13:02,4,3,PIT 30,7,10,Zoltan Mesko punts 30 yards,-1.370,-1.600
2,12:52,1,10,MIN 40,7,16,"Adrian Peterson right guard for 60 yards, touchdown",1.600,7.000
2,12:52,,,PIT 2,7,17,Blair Walsh kicks extra point good,0.000,0.000
2,12:52,,,MIN 35,7,17,"Blair Walsh kicks off 66 yards, returned by Felix Jones for 15 yards (tackle by Robert Blanton)",0.000,0.280
2,12:36,1,10,PIT 14,7,17,Le'Veon Bell left guard for no gain (tackle by Desmond Bishop),-0.280,-0.750
2,11:47,2,10,PIT 14,7,17,Ben Roethlisberger sacked by Jared Allen for -1 yards,-0.750,-1.530
2,11:07,3,11,PIT 13,7,17,Ben Roethlisberger pass complete short left to Antonio Brown for 14 yards (tackle by Josh Robinson),-1.530,0.740
2,10:29,1,10,PIT 27,7,17,Le'Veon Bell right guard for 2 yards (tackle by Andrew Sendejo),0.740,0.470
2,9:51,2,8,PIT 29,7,17,Ben Roethlisberger pass complete short middle to Antonio Brown for 15 yards (tackle by Josh Robinson),0.470,1.860
2,9:05,1,10,PIT 44,7,17,Ben Roethlisberger pass complete short right to Emmanuel Sanders for 4 yards (tackle by Andrew Sendejo),1.860,1.860
2,8:21,2,6,PIT 48,7,17,Ben Roethlisberger sacked by Jared Allen and Sharrif Floyd for -6 yards,1.860,0.370
2,7:38,3,12,PIT 42,7,17,"Ben Roethlisberger pass complete deep middle to Heath Miller for 28 yards (tackle by Harrison Smith). Penalty on Harrison Smith: Unnecessary Roughness, 15 yards",0.370,4.580
2,7:03,1,10,MIN 15,7,17,Ben Roethlisberger pass complete short middle to Heath Miller for 7 yards (tackle by Chad Greenway),4.580,5.220
2,6:23,2,3,MIN 8,7,17,Ben Roethlisberger pass complete short left to Antonio Brown for 2 yards (tackle by Andrew Sendejo),5.220,5.220
2,5:39,2,3,MIN 8,7,17,Timeout #1 by Pittsburgh Steelers,5.220,4.900
2,5:39,3,1,MIN 6,7,17,Le'Veon Bell left guard for 1 yard (tackle by Kevin Williams),4.900,6.060
2,4:58,1,5,MIN 5,7,17,Le'Veon Bell up the middle for 2 yards (tackle by Chad Greenway),6.060,5.530
2,4:13,2,3,MIN 3,7,17,Ben Roethlisberger pass incomplete short right intended for Heath Miller,5.530,4.720
2,4:10,3,3,MIN 3,7,17,Ben Roethlisberger sacked by Jared Allen for -5 yards,4.720,4.720
2,3:43,3,3,MIN 3,7,17,Timeout #1 by Minnesota Vikings,4.720,2.950
2,3:43,4,8,MIN 8,10,17,Shaun Suisham 26 yard field goal good,2.950,3.000
2,3:43,,,PIT 35,10,17,"Shaun Suisham kicks off 73 yards, returned by Cordarrelle Patterson for 42 yards (tackle by Markus Wheaton)",0.000,-1.200
2,3:31,1,10,MIN 34,10,17,Matt Cassel pass incomplete short left intended for Jerome Simpson (defended by Lawrence Timmons),1.200,0.660
2,3:27,2,10,MIN 34,10,17,Adrian Peterson right end for 5 yards (tackle by Vince Williams),0.660,0.630
2,2:46,3,5,MIN 39,10,17,"Matt Cassel sacked by LaMarr Woodley for -1 yards. Matt Cassel fumbles (forced by LaMarr Woodley), recovered by Jerome Simpson at MIN-48 and returned for 1 yards",0.630,2.190
2,2:00,1,10,MIN 49,10,17,Matt Cassel pass complete deep middle to Jerome Simpson for 24 yards (tackle by Ike Taylor and Ryan Clark),2.190,3.780
2,1:29,1,10,PIT 27,10,17,Adrian Peterson left guard for 2 yards (tackle by Lawrence Timmons),3.780,3.500
2,1:02,2,8,PIT 25,10,17,Matt Cassel pass incomplete short left intended for Jerome Simpson,3.500,2.810
2,0:58,3,8,PIT 25,10,17,Matt Cassel pass complete short right to Greg Jennings for 6 yards (tackle by William Gay),2.810,2.810
2,0:41,3,8,PIT 25,10,17,Timeout #2 by Pittsburgh Steelers,2.810,2.310
2,0:41,4,2,PIT 19,10,20,Blair Walsh 37 yard field goal good,2.310,3.000
2,0:41,,,MIN 35,10,20,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
2,0:39,1,10,PIT 20,10,20,Le'Veon Bell left tackle for 11 yards (tackle by Erin Henderson),0.280,1.000
2,0:16,1,10,PIT 31,10,20,Le'Veon Bell up the middle for 3 yards (tackle by Brian Robison),1.000,0.870
Quarter,Time,Down,ToGo,Location,PIT,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,10,20,"Blair Walsh kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,PIT 20,10,20,Le'Veon Bell right guard for 4 yards (tackle by Erin Henderson),0.280,0.270
3,14:22,2,6,PIT 24,10,20,Ben Roethlisberger pass complete short left to Emmanuel Sanders for 6 yards (tackle by Josh Robinson),0.270,0.940
3,13:42,1,10,PIT 30,10,20,Le'Veon Bell right guard for 5 yards (tackle by Josh Robinson),0.940,1.070
3,13:00,2,5,PIT 35,10,20,Ben Roethlisberger pass complete short right to Jerricho Cotchery for 16 yards (tackle by Mistral Raymond),1.070,2.320
3,12:20,1,10,MIN 49,10,20,"Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown (defended by Josh Robinson). Penalty on Josh Robinson: Defensive Pass Interference, 48 yards (no play)",2.320,6.970
3,12:14,1,1,MIN 1,10,20,Le'Veon Bell left guard for no gain (tackle by Erin Henderson),6.970,5.910
3,11:32,2,1,MIN 1,16,20,"Le'Veon Bell left guard for 1 yard, touchdown",5.910,7.000
3,11:32,,,MIN 2,17,20,Shaun Suisham kicks extra point good,0.000,0.000
3,11:32,,,PIT 35,17,20,"Shaun Suisham kicks off 71 yards, returned by Cordarrelle Patterson for 31 yards (tackle by Terence Garvin)",0.000,-0.610
3,11:23,1,10,MIN 25,17,20,Matt Cassel pass complete short left to Cordarrelle Patterson for 9 yards (tackle by Vince Williams),0.610,1.280
3,10:59,2,1,MIN 34,17,20,"Adrian Peterson up the middle for -1 yards (tackle by Ike Taylor). Penalty on Kyle Rudolph: Offensive Holding, 10 yards (no play)",1.280,-0.070
3,10:31,2,11,MIN 24,17,20,Matt Cassel pass complete deep right to Jerome Simpson for 51 yards (tackle by Cortez Allen),-0.070,3.910
3,9:45,1,10,PIT 25,17,20,Adrian Peterson left guard for 8 yards (tackle by Vince Williams),3.910,4.550
3,9:06,2,2,PIT 17,17,20,Adrian Peterson left tackle for 1 yard (tackle by Evander Hood),4.550,4.060
3,8:36,3,1,PIT 16,17,20,Adrian Peterson right tackle for 9 yards (tackle by Ryan Clark),4.060,5.600
3,7:56,1,7,PIT 7,17,26,"Adrian Peterson left guard for 7 yards, touchdown",5.600,7.000
3,7:56,,,PIT 2,17,27,Blair Walsh kicks extra point good,0.000,0.000
3,7:56,,,MIN 35,17,27,"Blair Walsh kicks off 69 yards, returned by Felix Jones for 20 yards (tackle by Gerald Hodges)",0.000,0.140
3,7:47,1,10,PIT 16,17,27,Jonathan Dwyer right tackle for 7 yards (tackle by Xavier Rhodes),-0.140,0.420
3,7:14,2,3,PIT 23,17,27,Jonathan Dwyer right tackle for no gain (tackle by Everson Griffen),0.420,-0.450
3,6:31,3,3,PIT 23,17,27,Ben Roethlisberger pass complete short right to Markus Wheaton for 5 yards (tackle by Harrison Smith),-0.450,0.810
3,5:49,1,10,PIT 28,17,27,Ben Roethlisberger pass incomplete short left intended for Emmanuel Sanders is intercepted by Chad Greenway at PIT-37,0.810,-3.120
3,5:38,1,10,PIT 37,17,27,"Matt Cassel pass complete short right to Kyle Rudolph for 6 yards (tackle by LaMarr Woodley). Penalty on LaMarr Woodley: Unnecessary Roughness, 15 yards",3.120,4.510
3,5:16,1,10,PIT 16,17,33,"Matt Cassel pass complete deep left to Greg Jennings for 16 yards, touchdown",4.510,7.000
3,5:16,,,PIT 2,17,34,Blair Walsh kicks extra point good,0.000,0.000
3,5:16,,,MIN 35,17,34,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
3,5:11,1,10,PIT 20,17,34,Ben Roethlisberger pass complete short left to Le'Veon Bell for 19 yards (tackle by Chad Greenway),0.280,1.530
3,4:29,1,10,PIT 39,17,34,Le'Veon Bell left guard for 4 yards (tackle by Harrison Smith),1.530,1.530
3,3:47,2,6,PIT 43,17,34,Ben Roethlisberger pass incomplete short right intended for Antonio Brown (defended by Fred Evans),1.530,0.830
3,3:42,3,6,PIT 43,17,34,Ben Roethlisberger sacked by Chad Greenway for -9 yards,0.830,-1.110
3,3:11,4,15,PIT 34,17,34,"Zoltan Mesko punts 42 yards, fair catch by Marcus Sherels",-1.110,-0.540
3,3:04,1,10,MIN 24,17,34,Adrian Peterson left end for 2 yards (tackle by Lawrence Timmons),0.540,0.270
3,2:29,2,8,MIN 26,17,34,Matt Cassel up the middle for 7 yards (tackle by Steve McLendon),0.270,0.500
3,1:46,3,1,MIN 33,17,34,Adrian Peterson right tackle for no gain (tackle by Lawrence Timmons),0.500,-1.180
3,1:06,4,1,MIN 33,17,34,"Jeff Locke punts 37 yards (tackle by Joe Webb). Penalty on Kion Wilson: Offensive Holding, 10 yards",-1.180,-0.480
3,0:55,1,10,PIT 23,17,34,Ben Roethlisberger pass complete short right to Emmanuel Sanders for 11 yards (tackle by Chad Greenway),0.480,1.200
3,0:33,1,10,PIT 34,17,34,Ben Roethlisberger pass complete short middle to Heath Miller for 11 yards (tackle by Chad Greenway),1.200,1.930
Quarter,Time,Down,ToGo,Location,PIT,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PIT 45,17,34,Ben Roethlisberger pass complete short right to Antonio Brown for -4 yards (tackle by Josh Robinson),1.930,0.840
4,14:27,2,14,PIT 41,17,34,"Ben Roethlisberger pass complete short middle to Jerricho Cotchery for 10 yards (tackle by Erin Henderson). Penalty on Andrew Sendejo: Unnecessary Roughness, 15 yards",0.840,3.310
4,13:54,1,10,MIN 34,17,34,Ben Roethlisberger pass complete short right to Felix Jones for 4 yards (tackle by Chad Greenway),3.310,3.310
4,13:23,2,6,MIN 30,17,34,Ben Roethlisberger pass incomplete short left intended for Emmanuel Sanders,3.310,2.610
4,13:19,3,6,MIN 30,17,34,Ben Roethlisberger pass complete short middle to Markus Wheaton for 15 yards (tackle by Josh Robinson),2.610,4.580
4,12:49,1,10,MIN 15,17,34,Ben Roethlisberger pass incomplete short right intended for Emmanuel Sanders (defended by Xavier Rhodes),4.580,3.950
4,12:47,2,10,MIN 15,23,34,"Ben Roethlisberger pass complete short right to Jerricho Cotchery for 15 yards, touchdown",3.950,7.000
4,12:47,,,MIN 2,24,34,Shaun Suisham kicks extra point good,0.000,0.000
4,12:47,,,PIT 35,24,34,"Shaun Suisham kicks off 71 yards, returned by Cordarrelle Patterson for 34 yards (tackle by Shamarko Thomas)",0.000,-0.810
4,12:34,1,10,MIN 28,24,34,Matt Cassel pass complete short left to Jerome Simpson for 12 yards (tackle by Troy Polamalu),0.810,1.600
4,11:58,1,10,MIN 40,24,34,Adrian Peterson right guard for 4 yards (tackle by Ryan Clark),1.600,1.590
4,11:16,2,6,MIN 44,24,34,Adrian Peterson right tackle for 11 yards (tackle by Ryan Clark and Cortez Allen),1.590,2.590
4,10:26,1,10,PIT 45,24,34,Matt Cassel pass complete short right to Toby Gerhart for 7 yards (tackle by Evander Hood),2.590,2.990
4,9:42,2,3,PIT 38,24,34,Adrian Peterson right tackle for 3 yards (tackle by Vince Williams),2.990,3.250
4,9:00,1,10,PIT 35,24,34,Adrian Peterson left end for -2 yards (tackle by Troy Polamalu),3.250,2.430
4,8:22,2,12,PIT 37,24,34,Matt Cassel pass complete short right to John Carlson for 4 yards (tackle by Lawrence Timmons),2.430,2.280
4,7:41,3,8,PIT 33,24,34,Matt Cassel pass complete short right to Jarius Wright for 6 yards (tackle by Ike Taylor),2.280,2.280
4,6:53,3,8,PIT 33,24,34,Timeout #1 by Minnesota Vikings,2.280,1.800
4,6:53,4,2,PIT 27,24,34,Blair Walsh 44 yard field goal no good,1.800,-1.270
4,6:49,1,10,PIT 35,24,34,Ben Roethlisberger pass complete short right to Le'Veon Bell for no gain,1.270,0.720
4,6:27,2,10,PIT 35,24,34,Ben Roethlisberger pass complete short middle to Jerricho Cotchery for 26 yards (tackle by Harrison Smith and Mistral Raymond),0.720,2.980
4,5:53,1,10,MIN 39,24,34,Le'Veon Bell left end for 9 yards (tackle by Mistral Raymond),2.980,3.660
4,5:25,2,1,MIN 30,24,34,Ben Roethlisberger pass complete short right to Antonio Brown for 6 yards (tackle by Josh Robinson),3.660,3.970
4,5:00,1,10,MIN 24,24,34,Ben Roethlisberger pass complete short middle to Heath Miller for 12 yards (tackle by Harrison Smith),3.970,4.780
4,4:31,1,10,MIN 12,24,34,Ben Roethlisberger pass incomplete,4.780,4.100
4,4:25,2,10,MIN 12,24,34,Ben Roethlisberger pass incomplete short middle intended for Markus Wheaton,4.100,3.120
4,4:21,3,10,MIN 12,24,34,Ben Roethlisberger pass complete short left to Le'Veon Bell for 1 yard (tackle by Chad Greenway),3.120,2.700
4,3:40,4,9,MIN 11,27,34,Shaun Suisham 28 yard field goal good,2.700,3.000
4,3:40,,,PIT 35,27,34,"Shaun Suisham kicks off 70 yards, touchback",0.000,-0.280
4,3:37,1,10,MIN 20,27,34,Matt Cassel pass complete short right to Kyle Rudolph for no gain,0.280,0.280
4,3:29,1,10,MIN 20,27,34,Timeout #1 by Pittsburgh Steelers,0.280,-0.270
4,3:29,2,10,MIN 20,27,34,Matt Cassel pass complete short left to Jerome Simpson for 9 yards (tackle by Ryan Clark),-0.270,0.230
4,2:50,3,1,MIN 29,27,34,Adrian Peterson right guard for 4 yards (tackle by Vince Williams),0.230,1.140
4,2:07,1,10,MIN 33,27,34,Adrian Peterson right tackle for 4 yards (tackle by Jarvis Jones),1.140,1.130
4,2:00,2,6,MIN 37,27,34,Adrian Peterson up the middle for 3 yards (tackle by Lawrence Timmons),1.130,1.130
4,1:56,2,6,MIN 37,27,34,Timeout #2 by Pittsburgh Steelers,1.130,0.830
4,1:56,3,3,MIN 40,27,34,Adrian Peterson right end for 2 yards (tackle by Steve McLendon),0.830,0.830
4,1:50,3,3,MIN 40,27,34,Timeout #3 by Pittsburgh Steelers,0.830,-0.590
4,1:50,4,1,MIN 42,27,34,"Jeff Locke punts 36 yards, fair catch by Antonio Brown",-0.590,-0.410
4,1:43,1,10,PIT 22,27,34,Ben Roethlisberger pass complete deep right to Jerricho Cotchery for 36 yards (tackle by Erin Henderson),0.410,2.790
4,1:35,1,10,MIN 42,27,34,Ben Roethlisberger pass complete short middle to Antonio Brown for 10 yards (tackle by Chad Greenway),2.790,3.450
4,1:32,1,10,MIN 32,27,34,Ben Roethlisberger spiked the ball,3.450,2.900
4,1:18,2,10,MIN 32,27,34,Ben Roethlisberger pass complete short right to Heath Miller for 7 yards (tackle by Erin Henderson),2.900,3.140
4,1:13,3,3,MIN 25,27,34,Ben Roethlisberger pass complete short left to Antonio Brown for 5 yards (tackle by Josh Robinson),3.140,4.240
4,1:01,1,10,MIN 20,27,34,Ben Roethlisberger spiked the ball,4.240,3.690
4,0:59,2,10,MIN 20,27,34,Ben Roethlisberger pass complete short right to Antonio Brown for 7 yards (tackle by Josh Robinson),3.690,4.100
4,0:34,3,3,MIN 13,27,34,Ben Roethlisberger pass complete short right to Antonio Brown for 7 yards (tackle by Mistral Raymond),4.100,5.830
4,0:24,1,6,MIN 6,27,34,Ben Roethlisberger spiked the ball,5.830,4.950
4,0:24,2,6,MIN 6,27,34,Ben Roethlisberger pass incomplete short middle intended for Jerricho Cotchery (defended by Jared Allen),4.950,4.040
4,0:19,3,6,MIN 6,27,34,"Ben Roethlisberger sacked by Everson Griffen for -4 yards. Ben Roethlisberger fumbles (forced by Everson Griffen), recovered by Kevin Williams at MIN-11 (tackle by Mike Adams)",4.040,0.370
4,0:06,1,10,MIN 11,27,34,Matt Cassel kneels for -2 yards,-0.370,-0.930
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
