Unnamed: 0,PHI,NYJ
First Downs,24,17
Rush-Yds-TDs,22-80-1,21-89-1
Cmp-Att-Yd-TD-INT,28-45-280-1-3,19-33-186-0-0
Sacked-Yards,2-12,5-31
Net Pass Yards,268,155
Total Yards,348,244
Fumbles-Lost,1-1,0-0
Turnovers,4,0
Penalties-Yards,5-46,9-68
Third Down Conv.,7-14,2-11
Fourth Down Conv.,1-2,0-1
Time of Possession,30:44,29:16
