Quarter,Time,Tm,Detail,CLE,CIN
1.0,12:14,Bengals,Giovani Bernard 5 yard rush (Mike Nugent kick),0,7
2.0,13:26,Browns,Cody Parkey 28 yard field goal,3,7
,6:20,Browns,Isaiah Crowell 1 yard rush (Cody Parkey kick),10,7
,4:09,Bengals,Brandon LaFell 44 yard pass from Andy Dalton (Mike Nugent kick),10,14
,0:00,Bengals,A.J. Green 48 yard pass from Andy Dalton (Mike Nugent kick),10,21
3.0,10:43,Browns,Kevin Hogan 28 yard rush (Cody Parkey kick),17,21
,9:47,Bengals,Jeremy Hill 74 yard rush (Mike Nugent kick),17,28
,4:19,Bengals,Mike Nugent 36 yard field goal,17,31
