Unnamed: 0,CLE,CIN
First Downs,22,23
Rush-Yds-TDs,26-180-2,30-271-2
Cmp-Att-Yd-TD-INT,21-35-182-0-2,19-28-308-2-0
Sacked-Yards,2-10,3-20
Net Pass Yards,172,288
Total Yards,352,559
Fumbles-Lost,0-0,2-1
Turnovers,2,1
Penalties-Yards,5-35,3-30
Third Down Conv.,6-14,5-10
Fourth Down Conv.,0-0,0-0
Time of Possession,31:48,28:12
