Quarter,Time,Tm,Detail,DAL,NYG
1.0,7:14,Cowboys,Dan Bailey 21 yard field goal,3,0
2.0,12:50,Giants,Aldrick Rosas 39 yard field goal,3,3
,2:07,Giants,Rhett Ellison 1 yard pass from Eli Manning (Aldrick Rosas kick),3,10
,1:38,Cowboys,Dez Bryant 50 yard pass from Dak Prescott (Dan Bailey kick),10,10
4.0,7:38,Cowboys,Jason Witten 20 yard pass from Dak Prescott (Dan Bailey kick),17,10
,4:08,Cowboys,Rod Smith 81 yard pass from Dak Prescott (Dan Bailey kick failed),23,10
,2:57,Cowboys,Rod Smith 15 yard rush (Dan Bailey kick),30,10
