Unnamed: 0,DAL,NYG
First Downs,19,21
Rush-Yds-TDs,31-122-1,29-102-0
Cmp-Att-Yd-TD-INT,20-30-332-3-0,31-46-228-1-2
Sacked-Yards,0-0,0-0
Net Pass Yards,332,228
Total Yards,454,330
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,8-51,7-69
Third Down Conv.,7-14,6-16
Fourth Down Conv.,0-0,0-0
Time of Possession,27:07,32:53
