Quarter,Time,Tm,Detail,DET,GNB
1.0,8:49,Packers,DeShawn Wynn 73 yard rush (Mason Crosby kick),0,7
,1:29,Packers,Jermichael Finley 3 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2.0,11:17,Lions,Calvin Johnson 9 yard pass from Dan Orlovsky (Jason Hanson kick),7,14
3.0,10:20,Lions,Calvin Johnson 14 yard pass from Dan Orlovsky (Jason Hanson kick),14,14
4.0,13:34,Packers,Mason Crosby 36 yard field goal,14,17
,8:34,Packers,John Kuhn 5 yard pass from Aaron Rodgers (Mason Crosby kick),14,24
,7:32,Lions,Kevin Smith 9 yard rush (Jason Hanson kick),21,24
,7:16,Packers,Donald Driver 71 yard pass from Aaron Rodgers (Mason Crosby kick),21,31
