Quarter,Time,Down,ToGo,Location,CAR,PIT,Detail,EPB,EPA
1,8:43,,,PIT 30,0,7,"Jeff Reed kicks off 66 yards, returned by Steve Smith for 29 yards (tackle by Hank Poteat)",0.000,1.140
1,8:35,1,10,CAR 33,0,7,Rodney Peete pass incomplete intended for Muhsin Muhammad,1.140,0.590
1,8:21,2,10,CAR 33,0,7,Nick Goings left tackle for 3 yards (tackle by Aaron Smith),0.590,0.300
1,7:41,3,7,CAR 36,0,7,Rodney Peete sacked by Clark Haggans and Jason Gildon for -6 yards,0.300,-1.370
1,7:41,4,13,CAR 30,0,7,"Todd Sauerbrun punts 47 yards, returned by Hank Poteat for 3 yards (tackle by Damien Richardson). Hank Poteat fumbles (forced by Damien Richardson), recovered by Emmanuel McDaniel at PIT-26 and returned for 1 yards",-1.370,3.910
1,7:12,1,10,PIT 25,0,7,"Rodney Peete pass incomplete intended for Muhsin Muhammad. Penalty on Dee Brown: Offensive Holding, 10 yards (no play)",3.910,3.250
1,7:03,1,20,PIT 35,0,7,"Dee Brown middle for 3 yards (tackle by Kendrell Bell and Dewayne Washington). Penalty on Lee Flowers: Defensive Offside, 5 yards (no play)",3.250,3.580
1,6:40,1,15,PIT 30,0,7,Rodney Peete pass incomplete intended for Muhsin Muhammad (defended by Aaron Smith),3.580,2.690
1,6:33,2,15,PIT 30,0,7,Dee Brown middle for 2 yards (tackle by Lee Flowers),2.690,2.280
1,5:50,3,13,PIT 28,0,7,Rodney Peete pass incomplete intended for Isaac Byrd (defended by Deshea Townsend),2.280,1.590
1,5:50,4,13,PIT 28,0,7,Rodney Peete sacked by Jason Gildon for -8 yards,1.590,-1.330
1,5:38,1,10,PIT 36,0,7,Jerome Bettis middle for 6 yards (tackle by Mark Fields),1.330,1.600
1,5:05,2,4,PIT 42,0,7,Jerome Bettis right tackle for 3 yards (tackle by Al Wallace and Kris Jenkins),1.600,1.290
1,5:05,3,1,PIT 45,0,7,Antwaan Randle El right end for 5 yards (tackle by Mike Minter),1.290,2.260
1,3:47,1,10,,0,7,Tommy Maddox pass incomplete intended for Plaxico Burress is intercepted by Mike Minter at CAR-34 and returned for 62 yards,2.260,-6.280
1,3:30,1,4,PIT 4,0,7,Dee Brown middle for -2 yards (tackle by Aaron Smith),6.280,4.950
1,2:47,2,6,PIT 6,6,7,"Rodney Peete pass complete to Dee Brown for 6 yards, touchdown",4.950,7.000
1,2:47,,,PIT 6,7,7,Shayne Graham kicks extra point good,0.000,0.000
1,2:47,,,CAR 30,7,7,"Todd Sauerbrun kicks off 58 yards, returned by Antwaan Randle El for 15 yards (tackle by Brad Jackson)",0.000,0.740
1,2:40,1,10,PIT 27,7,7,Jerome Bettis right tackle for 6 yards (tackle by Terry Cousin and Brentson Buckner),0.740,1.010
1,2:00,2,4,PIT 33,7,7,Dan Kreider middle for 3 yards (tackle by Josh Taves and Mike Rucker),1.010,0.700
1,1:20,3,1,PIT 36,7,7,Jerome Bettis left tackle for 6 yards (tackle by Will Witherspoon),0.700,1.730
1,0:41,1,10,PIT 42,7,7,Tommy Maddox sacked by Mike Rucker for -7 yards,1.730,0.240
1,0:21,2,17,PIT 35,7,7,Tommy Maddox pass incomplete intended for Hines Ward,0.240,-0.430
1,0:16,2,17,PIT 35,,,Timeout #1 by Pittsburgh Steelers,0.240,-0.430
1,0:16,3,17,PIT 35,7,7,Tommy Maddox pass complete to Plaxico Burress for 31 yards,-0.430,3.310
Quarter,Time,Down,ToGo,Location,CAR,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CAR 34,7,7,Tommy Maddox pass complete to Jerome Bettis for 9 yards (tackle by Brian Allen and Mark Fields),3.310,3.990
2,14:22,2,1,CAR 25,7,7,Jerome Bettis right tackle for 3 yards (tackle by Mark Fields),3.990,4.110
2,13:42,1,10,CAR 22,7,7,Jerome Bettis right tackle for 2 yards (tackle by Mike Rucker and Will Witherspoon),4.110,3.830
2,13:02,2,8,CAR 20,7,7,Amos Zereoue left tackle for 3 yards (tackle by Reggie Howard),3.830,3.560
2,12:23,3,5,CAR 17,7,7,Tommy Maddox pass incomplete intended for Hines Ward,3.560,2.360
2,12:23,4,5,CAR 17,7,10,Jeff Reed 36 yard field goal good,2.360,3.000
2,12:23,,,PIT 30,7,10,"Jeff Reed kicks off 61 yards, returned by Steve Smith for 14 yards (tackle by Deshea Townsend)",0.000,0.480
2,12:14,1,10,CAR 23,7,10,Nick Goings middle for 4 yards (tackle by Aaron Smith and Casey Hampton),0.480,0.470
2,11:34,2,6,CAR 27,7,10,Chris Weinke sacked by Kendrell Bell for -9 yards,0.470,-1.560
2,11:05,2,6,CAR 27,,,Timeout #1 by Carolina Panthers,0.470,-1.560
2,11:05,3,15,CAR 18,7,10,Chris Weinke sacked by Rodney Bailey for -9 yards,-1.560,-2.490
2,10:48,4,24,CAR 9,7,10,"Todd Sauerbrun punts 38 yards, out of bounds",-2.490,-2.460
2,10:40,1,10,CAR 47,7,10,Amos Zereoue left guard for 1 yard (tackle by Brian Allen),2.460,2.050
2,10:06,2,9,CAR 46,7,10,Antwaan Randle El right end for 5 yards (tackle by Mike Minter),2.050,2.010
2,9:27,3,4,CAR 41,7,10,Tommy Maddox pass complete to Verron Haynes for 3 yards (tackle by Mark Fields),2.010,0.720
2,8:53,4,1,CAR 38,7,10,Jerome Bettis right guard for 3 yards (tackle by Will Witherspoon),0.720,3.250
2,8:14,1,10,CAR 35,7,10,Amos Zereoue middle for 11 yards (tackle by Reggie Howard),3.250,3.970
2,7:35,1,10,CAR 24,7,10,Dan Kreider middle for 1 yard (tackle by Brian Allen),3.970,3.570
2,6:57,2,9,CAR 23,7,10,Amos Zereoue left end for no gain (tackle by Will Witherspoon),3.570,2.870
2,6:15,3,9,CAR 23,7,10,Tommy Maddox pass incomplete intended for Hines Ward (defended by Reggie Howard),2.870,1.930
2,6:15,4,9,CAR 23,7,13,Jeff Reed 41 yard field goal good,1.930,3.000
2,6:15,,,PIT 30,7,13,"Jeff Reed kicks off 56 yards, returned by Steve Smith for 11 yards (tackle by Chidi Iwuoma)",0.000,0.610
2,6:07,1,10,CAR 25,7,13,Chris Weinke pass incomplete intended for Muhsin Muhammad (defended by Chad Scott),0.610,0.060
2,5:58,2,10,CAR 25,7,13,Chris Weinke pass complete to Nick Goings for -1 yards (tackle by Aaron Smith),0.060,-0.760
2,5:16,3,11,CAR 24,7,13,Chris Weinke pass incomplete intended for Steve Smith is intercepted by Brent Alexander at CAR-47 and returned for -1 yards,-0.760,-2.390
2,5:09,1,10,CAR 48,7,13,Tommy Maddox pass complete to Dan Kreider for -1 yards (tackle by Mark Fields),2.390,1.710
2,4:31,2,11,CAR 49,7,13,Tommy Maddox pass complete to Amos Zereoue for 6 yards (tackle by Reggie Howard and Josh Taves),1.710,1.820
2,3:45,3,5,CAR 43,7,13,Tommy Maddox pass incomplete intended for Hines Ward,1.820,0.400
2,3:39,4,5,CAR 43,7,13,Josh Miller punts 35 yards,0.400,0.380
2,3:28,1,10,CAR 9,7,13,Chris Weinke pass complete to Muhsin Muhammad for 4 yards (tackle by Chad Scott and Jason Gildon),-0.380,-0.480
2,2:52,2,6,CAR 13,7,13,Dee Brown middle for 1 yard (tackle by Kendrell Bell and Kimo von Oelhoffen),-0.480,-0.840
2,2:12,3,5,CAR 14,7,13,Chris Weinke pass complete to Isaac Byrd for 11 yards (tackle by Deshea Townsend),-0.840,0.610
2,2:00,1,10,CAR 25,7,13,Nick Goings right guard for 2 yards (tackle by Aaron Smith),0.610,0.330
2,1:24,2,8,CAR 27,7,13,Chris Weinke pass incomplete intended for Steve Smith,0.330,-0.360
2,1:20,3,8,CAR 27,7,13,Chris Weinke pass incomplete intended for Muhsin Muhammad,-0.360,-1.570
2,1:20,4,8,CAR 27,7,13,"Todd Sauerbrun punts 48 yards, returned by Hank Poteat for 11 yards (tackle by Will Witherspoon)",-1.570,-1.330
2,1:02,1,10,PIT 36,7,13,Tommy Maddox pass complete to Amos Zereoue for 6 yards (tackle by Mark Fields),1.330,1.600
2,0:37,2,4,PIT 42,7,13,"Tommy Maddox pass complete to Plaxico Burress for 4 yards (tackle by Mark Fields). Penalty on Mark Fields: Face Mask (15 Yards), 15 yards",1.600,2.980
2,0:31,1,10,CAR 39,7,13,Tommy Maddox pass incomplete intended for Lee Mays,2.980,2.440
2,0:27,2,10,CAR 39,7,13,Tommy Maddox pass incomplete intended for Terance Mathis (defended by Terry Cousin),2.440,1.750
2,0:23,3,10,CAR 39,7,13,Tommy Maddox pass incomplete intended for Lee Mays,1.750,0.660
2,0:15,4,10,CAR 39,7,13,"Josh Miller punts 30 yards, returned by Steve Smith for 10 yards (tackle by Chidi Iwuoma)",0.660,-0.150
2,0:05,1,10,CAR 19,7,13,Chris Weinke kneels for -1 yards,0.150,-0.560
Quarter,Time,Down,ToGo,Location,CAR,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 30,7,13,"Todd Sauerbrun kicks off 47 yards, returned by Antwaan Randle El for no gain",0.000,0.480
3,15:00,1,10,PIT 23,7,13,Jerome Bettis right tackle for 3 yards (tackle by Deon Grant),0.480,0.340
3,14:14,2,7,PIT 26,7,13,Amos Zereoue right tackle for 4 yards (tackle by Mark Fields),0.340,0.170
3,13:34,3,3,PIT 30,7,13,Tommy Maddox pass incomplete intended for Hines Ward (defended by Terry Cousin),0.170,-1.370
3,13:30,4,3,PIT 30,7,13,"Josh Miller punts 36 yards, returned by Steve Smith for 6 yards (tackle by Brett Keisel)",-1.370,-1.600
3,13:18,1,10,CAR 40,7,13,Dee Brown middle for 5 yards (tackle by Brent Alexander),1.600,1.730
3,12:36,2,5,CAR 45,7,13,Rodney Peete pass complete to Jermaine Wiggins for 3 yards (tackle by Dewayne Washington),1.730,1.420
3,11:58,3,2,CAR 48,7,13,Rodney Peete pass incomplete intended for Brad Hoover,1.420,-0.190
3,11:58,4,2,CAR 48,7,13,"Todd Sauerbrun punts 43 yards, returned by Hank Poteat for 8 yards",-0.190,0.060
3,11:40,1,10,PIT 17,7,13,Tommy Maddox pass complete to Jerame Tuman for 6 yards (tackle by Mark Fields),-0.060,0.350
3,11:02,2,4,PIT 23,7,13,Jerome Bettis right tackle for 2 yards (tackle by Shane Burton),0.350,-0.240
3,10:20,3,2,PIT 25,7,13,Tommy Maddox pass complete to Hines Ward for 8 yards (tackle by Terry Cousin),-0.240,1.140
3,9:53,1,10,PIT 33,7,13,"Tommy Maddox for no gain. Tommy Maddox fumbles, recovered by Tommy Maddox at PIT-32",1.140,0.460
3,9:14,2,11,PIT 32,7,13,Tommy Maddox pass complete to Dan Kreider for 3 yards (tackle by Mark Fields and Brian Allen),0.460,0.170
3,8:37,3,8,PIT 35,7,13,Tommy Maddox pass incomplete intended for Amos Zereoue,0.170,-1.040
3,8:30,4,8,PIT 35,7,13,"Josh Miller punts 53 yards, returned by Steve Smith for 6 yards. Steve Smith fumbles, recovered by Brett Keisel at CAR-18",-1.040,4.370
3,8:18,1,10,CAR 18,7,13,Jerome Bettis right tackle for 4 yards (tackle by Kris Jenkins),4.370,4.430
3,7:34,2,6,CAR 14,7,13,Jerome Bettis left guard for 5 yards (tackle by Reggie Howard and Mike Minter),4.430,4.740
3,6:57,3,1,CAR 9,7,19,"Jerome Bettis right tackle for 9 yards, touchdown",4.740,7.000
3,6:57,,,CAR 9,7,20,Jeff Reed kicks extra point good,0.000,0.000
3,6:57,,,PIT 30,7,20,"Jeff Reed kicks off 67 yards, returned by Steve Smith for 20 yards (tackle by Deshea Townsend)",0.000,0.480
3,6:51,1,10,CAR 23,7,20,Rodney Peete pass incomplete intended for Muhsin Muhammad (defended by Kimo von Oelhoffen),0.480,-0.070
3,6:39,2,10,CAR 23,7,20,Rodney Peete pass incomplete intended for Kris Mangum,-0.070,-0.760
3,6:34,3,10,CAR 23,7,20,Rodney Peete pass incomplete intended for Nick Goings,-0.760,-1.830
3,6:28,4,10,CAR 23,7,20,Todd Sauerbrun punts 39 yards,-1.830,-1.470
3,6:17,1,10,PIT 38,7,20,"Amos Zereoue middle for no gain (tackle by Brian Allen). Penalty on Josh Taves: Defensive Offside, 5 yards (no play)",1.470,2.200
3,6:02,1,5,PIT 43,7,20,Hines Ward right end for 2 yards (tackle by Al Wallace),2.200,1.870
3,5:21,2,3,PIT 45,7,20,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Brentson Buckner),1.870,1.160
3,5:16,3,3,PIT 45,7,20,Antwaan Randle El pass complete to Amos Zereoue for 6 yards (tackle by Reggie Howard),1.160,2.320
3,4:30,1,10,CAR 49,7,20,Amos Zereoue left end for 3 yards (tackle by Reggie Howard),2.320,2.190
3,3:58,2,7,CAR 46,7,20,Amos Zereoue right tackle for 1 yard (tackle by Brentson Buckner),2.190,1.620
3,3:16,3,6,CAR 45,7,20,Tommy Maddox sacked by Mark Fields for -5 yards,1.620,-0.060
3,3:00,4,11,,7,20,"Josh Miller punts 24 yards, fair catch by Steve Smith",-0.060,-0.670
3,2:51,1,10,CAR 26,7,20,Rodney Peete pass complete to Muhsin Muhammad for 5 yards (tackle by Chad Scott),0.670,0.810
3,2:15,2,5,CAR 31,7,20,Rodney Peete pass complete to Muhsin Muhammad for 7 yards (tackle by Chad Scott),0.810,1.470
3,1:34,2,5,CAR 31,,,Timeout #1 by Carolina Panthers,0.810,1.470
3,1:34,1,10,CAR 38,7,20,Dee Brown right guard for 12 yards (tackle by Jason Gildon),1.470,2.260
3,0:59,1,10,PIT 50,7,20,Muhsin Muhammad left end for 20 yards (tackle by James Farrior),2.260,3.580
3,0:29,1,10,PIT 30,7,20,Brad Hoover middle for 3 yards (tackle by Casey Hampton and James Farrior),3.580,3.440
Quarter,Time,Down,ToGo,Location,CAR,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,PIT 27,7,20,Rodney Peete pass complete to Steve Smith for 23 yards (tackle by Chad Scott),3.440,6.280
,,,,,,,"PIT challenged the ruling, and the original play was overturned.",,
4,14:25,1,4,PIT 4,7,20,Dee Brown right guard for 3 yards (tackle by Chad Scott),6.280,5.910
,,,,,,,"CAR challenged the ruling, and the play was upheld.",,
4,14:25,2,1,PIT 1,7,20,Rodney Peete middle for no gain (tackle by Aaron Smith and Kendrell Bell),5.910,5.170
,,,,,,,"PIT challenged the ruling, and the original play was overturned.",,
4,13:42,3,1,PIT 1,13,20,"Dee Brown right guard for 1 yard, touchdown",5.170,7.000
4,13:42,,,PIT 1,14,20,Shayne Graham kicks extra point good,0.000,0.000
4,13:42,,,CAR 30,14,20,"Todd Sauerbrun kicks off 68 yards, returned by Antwaan Randle El for 18 yards (tackle by Rod Smart)",0.000,0.280
4,13:28,1,10,PIT 20,14,20,Tommy Maddox pass incomplete intended for Jerame Tuman (defended by Mike Rucker),0.280,-0.270
4,13:18,2,10,PIT 20,14,20,Amos Zereoue right tackle for -1 yards (tackle by Mark Fields and Al Wallace),-0.270,-1.140
4,12:37,3,11,PIT 19,14,20,Tommy Maddox pass complete to Plaxico Burress for 47 yards (tackle by Deon Grant),-1.140,3.310
4,11:51,1,10,CAR 34,14,20,Amos Zereoue left tackle for 1 yard (tackle by Brian Allen),3.310,2.910
4,11:14,2,9,CAR 33,14,20,Tommy Maddox pass complete to Amos Zereoue for 10 yards (tackle by Mark Fields),2.910,4.040
4,10:30,1,10,CAR 23,14,20,Jerome Bettis right end for 5 yards (tackle by Mark Fields),4.040,4.210
4,9:48,2,5,CAR 18,14,20,Amos Zereoue left end for 12 yards (tackle by Deon Grant),4.210,5.830
4,9:04,1,6,CAR 6,14,20,Amos Zereoue left tackle for -1 yards (tackle by Brad Jackson and Mike Minter),5.830,4.760
4,8:21,2,7,CAR 7,14,20,Tommy Maddox pass complete to Hines Ward for 4 yards (tackle by Mike Minter),4.760,4.720
4,7:55,3,3,CAR 3,14,20,Tommy Maddox pass complete to Amos Zereoue for -2 yards (tackle by Kris Jenkins and Mike Minter),4.720,3.010
4,7:55,4,5,CAR 5,14,23,Jeff Reed 23 yard field goal good,3.010,3.000
4,7:55,,,PIT 30,14,23,"Jeff Reed kicks off 59 yards, returned by Isaac Byrd for 21 yards (tackle by Deshea Townsend)",0.000,1.070
4,7:11,1,10,CAR 32,14,23,Rodney Peete sacked by Casey Hampton for -8 yards,1.070,-0.550
4,6:33,2,18,CAR 24,14,23,Rodney Peete pass complete to Jermaine Wiggins for -4 yards (tackle by Aaron Smith),-0.550,-1.750
4,5:48,3,22,CAR 20,14,23,"Rodney Peete sacked by Jason Gildon for -5 yards. Rodney Peete fumbles (forced by Jason Gildon), recovered by Aaron Smith at CAR-15 (tackle by Todd Steussie)",-1.750,-4.580
,,,,,,,"CAR challenged the ruling, and the play was upheld.",,
4,5:38,1,10,CAR 15,14,23,Jerome Bettis right tackle for 2 yards (tackle by Brad Jackson and Mike Rucker),4.580,4.280
4,5:01,2,8,CAR 13,14,23,Tommy Maddox pass complete to Amos Zereoue for 5 yards (tackle by Terry Cousin and Shane Burton),4.280,4.450
4,4:17,3,3,CAR 8,14,29,"Jerome Bettis right guard for 8 yards, touchdown",4.450,7.000
4,4:17,,,CAR 8,14,30,Jeff Reed kicks extra point good,0.000,0.000
4,4:17,,,PIT 30,14,30,"Jeff Reed kicks off 45 yards, returned by Isaac Byrd for 8 yards (tackle by Chidi Iwuoma)",0.000,1.140
4,4:12,1,10,CAR 33,14,30,Rodney Peete pass complete to Steve Smith for 9 yards (tackle by Dewayne Washington),1.140,1.810
4,3:59,2,1,CAR 42,14,30,Rodney Peete pass complete to Muhsin Muhammad for 6 yards (tackle by Chad Scott and Deshea Townsend),1.810,2.130
4,3:41,1,10,CAR 48,14,30,"Penalty on Todd Steussie: False Start, 5 yards (no play)",2.130,1.800
4,3:38,1,15,CAR 43,14,30,Rodney Peete pass incomplete intended for Muhsin Muhammad (defended by Clark Haggans),1.800,0.910
4,3:30,2,15,CAR 43,14,30,Rodney Peete pass complete to Steve Smith for 8 yards (tackle by Joey Porter),0.910,1.290
4,3:24,3,7,PIT 49,14,30,Rodney Peete pass complete to Isaac Byrd for 9 yards (tackle by Joey Porter),1.290,2.920
4,2:58,1,10,PIT 40,14,30,Rodney Peete pass incomplete intended for Muhsin Muhammad,2.920,2.370
4,2:53,2,10,PIT 40,14,30,Rodney Peete pass incomplete intended for Karl Hankton,2.370,1.680
4,2:46,3,10,PIT 40,14,30,Rodney Peete pass complete to Muhsin Muhammad for 17 yards (tackle by Brent Alexander),1.680,4.040
4,2:41,1,10,PIT 23,14,30,Rodney Peete pass incomplete intended for Karl Hankton,4.040,3.500
4,2:36,2,10,PIT 23,14,30,"Rodney Peete for no gain. Jeff Mitchell fumbles, recovered by Kimo von Oelhoffen at PIT-26. Penalty on Muhsin Muhammad: Illegal Motion (Declined)",3.500,-0.670
4,2:35,1,10,PIT 26,14,30,Jerome Bettis right guard for 3 yards (tackle by Brian Allen and Will Witherspoon),0.670,0.540
4,2:00,2,7,PIT 29,14,30,Amos Zereoue middle for 1 yard (tackle by Al Wallace),0.540,-0.030
4,1:18,3,6,PIT 30,14,30,Amos Zereoue left tackle for 1 yard (tackle by Deon Grant and Will Witherspoon),-0.030,-1.310
4,0:32,3,6,PIT 30,,,Timeout #1 by Pittsburgh Steelers,-0.030,-1.310
4,0:32,4,5,PIT 31,14,30,Josh Miller punts 34 yards,-1.310,-1.270
4,0:20,1,10,CAR 35,14,30,Rodney Peete pass incomplete intended for Dee Brown (defended by Clark Haggans),1.270,0.720
4,0:17,2,10,CAR 35,14,30,Rodney Peete pass complete to Steve Smith for 4 yards (tackle by Mike Logan),0.720,0.560
4,0:12,3,6,CAR 39,14,30,Rodney Peete pass complete to Steve Smith for 13 yards (tackle by Dewayne Washington),0.560,2.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
