Unnamed: 0,CAR,PIT
First Downs,11,19
Rush-Yds-TDs,16-50-1,38-129-2
Cmp-Att-Yd-TD-INT,17-34-126-1-1,21-34-215-1-1
Sacked-Yards,6-45,2-12
Net Pass Yards,81,203
Total Yards,131,332
Fumbles-Lost,3-3,3-1
Turnovers,4,2
Penalties-Yards,4-35,1-5
Third Down Conv.,5-14,10-20
Fourth Down Conv.,0-1,1-1
Time of Possession,20:32,39:28
