#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CAR 37,3,1:37,3,Punt
2,1,8:35,CAR 33,3,1:23,-3,Punt
3,1,7:12,PIT 25,4,1:34,-11,Downs
4,1,3:30,PIT 4,2,0:50,4,Touchdown
5,2,12:14,CAR 23,3,1:34,-14,Punt
6,2,6:07,CAR 25,3,0:58,-1,Interception
7,2,3:28,CAR 9,6,2:26,18,Punt
8,2,0:05,CAR 19,1,0:05,-1,End of Half
9,3,13:18,CAR 40,3,1:38,8,Punt
10,3,6:51,CAR 23,3,0:34,0,Punt
11,3,2:51,CAR 26,9,4:23,74,Touchdown
12,4,7:11,CAR 32,3,1:33,-17,Fumble
13,4,4:12,CAR 33,10,1:37,41,Fumble
14,4,0:20,CAR 35,3,0:20,17,End of Game
