Unnamed: 0,SFO,STL
First Downs,17,19
Rush-Yds-TDs,30-89-0,24-93-1
Cmp-Att-Yd-TD-INT,22-35-343-3-0,21-42-236-1-1
Sacked-Yards,0-0,5-20
Net Pass Yards,343,216
Total Yards,432,309
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,5-23,8-38
Third Down Conv.,6-14,5-14
Fourth Down Conv.,0-2,0-0
Time of Possession,28:38,31:22
