Quarter,Time,Tm,Detail,SFO,STL
1.0,7:55,Rams,Benny Cunningham 1 yard rush (Greg Zuerlein kick),0,7
,0:53,Rams,Lance Kendricks 22 yard pass from Austin Davis (Greg Zuerlein kick),0,14
2.0,7:07,49ers,Phil Dawson 54 yard field goal,3,14
,0:14,49ers,Brandon Lloyd 80 yard pass from Colin Kaepernick (Phil Dawson kick),10,14
3.0,9:58,49ers,Anquan Boldin 11 yard pass from Colin Kaepernick (Phil Dawson kick),17,14
,0:13,49ers,Michael Crabtree 32 yard pass from Colin Kaepernick (Phil Dawson kick),24,14
4.0,2:24,Rams,Greg Zuerlein 38 yard field goal,24,17
,0:53,49ers,Dontae Johnson 20 yard interception return (Phil Dawson kick),31,17
