Quarter,Time,Down,ToGo,Location,STL,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Shaun Suisham kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,STL 20,0,0,Steven Jackson right guard for -2 yards (tackle by Troy Polamalu),0.280,-0.630
1,14:25,2,12,STL 18,0,0,Kellen Clemens pass incomplete deep middle intended for Brandon Lloyd,-0.630,-1.330
1,14:17,3,12,STL 18,0,0,Steven Jackson right end for 15 yards (tackle by Ryan Clark),-1.330,1.140
1,13:37,1,10,STL 33,0,0,Steven Jackson right tackle for 2 yards,1.140,0.860
1,12:53,2,8,STL 35,0,0,Kellen Clemens pass complete short middle to Steven Jackson for 7 yards (tackle by Lawrence Timmons),0.860,1.090
1,12:11,3,1,STL 42,0,0,Cadillac Williams up the middle for 2 yards (tackle by Lawrence Timmons),1.090,1.860
1,11:37,1,10,STL 44,0,0,Steven Jackson up the middle for 5 yards (tackle by Brett Keisel and Troy Polamalu),1.860,1.990
1,11:01,2,5,STL 49,0,0,Steven Jackson right guard for 3 yards (tackle by William Gay),1.990,1.690
1,10:22,3,2,PIT 48,0,0,Kellen Clemens pass incomplete short left intended for Brandon Lloyd,1.690,0.070
,,,,,,,"PIT challenged the pass completion ruling, and the original play was overturned.",,
1,10:19,4,2,PIT 48,0,0,"Donnie Jones punts 27 yards, fair catch by Antonio Brown",0.070,-0.340
1,10:11,1,10,PIT 21,0,0,Rashard Mendenhall up the middle for 7 yards (tackle by Roderick Hood),0.340,0.750
1,9:35,2,3,PIT 28,0,0,Charlie Batch pass complete short left to Rashard Mendenhall for 35 yards (tackle by Darian Stewart and Chris Chamberlain),0.750,3.120
1,8:52,1,10,STL 37,0,0,Isaac Redman right guard for 2 yards (tackle by Eugene Sims and James Hall),3.120,2.840
1,8:11,2,8,STL 35,0,0,Charlie Batch pass complete short right to Mike Wallace for 11 yards (tackle by James Laurinaitis),2.840,3.970
1,7:34,1,10,STL 24,0,0,Rashard Mendenhall right tackle for 7 yards (tackle by Brady Poppinga),3.970,4.460
1,6:55,2,3,STL 17,0,0,Rashard Mendenhall up the middle for 6 yards (tackle by Justin Bannan and Chris Chamberlain),4.460,4.840
1,6:14,1,10,STL 11,0,0,Charlie Batch pass complete short right to Mike Wallace for 5 yards (tackle by Brady Poppinga and Chris Chamberlain),4.840,5.080
1,5:58,2,5,STL 6,0,0,Rashard Mendenhall right guard for 3 yards (tackle by James Laurinaitis and Brady Poppinga),5.080,4.890
1,4:50,3,2,STL 3,0,0,Charlie Batch pass incomplete short left intended for Mike Wallace (defended by Roderick Hood),4.890,3.050
1,4:46,4,2,STL 3,0,3,Shaun Suisham 21 yard field goal good,3.050,3.000
1,,,,PIT 35,0,3,"Shaun Suisham kicks off 69 yards, returned by Jerious Norwood for 24 yards (tackle by Will Allen). Penalty on Will Allen: Offside on Free Kick, 5 yards",0.000,0.610
1,4:38,1,10,STL 25,0,3,Steven Jackson right guard for 3 yards (tackle by James Harrison and Lawrence Timmons),0.610,0.470
1,4:38,2,7,STL 28,0,3,Kellen Clemens pass complete short middle to Danario Alexander for 16 yards (tackle by Lawrence Timmons),0.470,1.860
1,3:26,1,10,STL 44,0,3,Steven Jackson up the middle for 3 yards (tackle by Troy Polamalu and William Gay),1.860,1.720
1,2:48,2,7,STL 47,0,3,Kellen Clemens pass incomplete short right intended for Danario Alexander (defended by William Gay),1.720,1.030
1,2:44,3,7,STL 47,0,3,"Penalty on Jason Brown: False Start, 5 yards (no play)",1.030,0.370
1,2:44,3,12,STL 42,0,3,Kellen Clemens pass incomplete short right intended for Brandon Lloyd,0.370,-0.590
1,2:39,4,12,STL 42,0,3,"Donnie Jones punts 41 yards, fair catch by Antonio Brown",-0.590,0.060
1,2:30,1,10,PIT 17,0,3,Rashard Mendenhall right tackle for 1 yard (tackle by Robert Quinn),-0.060,-0.420
1,1:51,2,9,PIT 18,0,3,Charlie Batch pass complete short middle to Hines Ward for 2 yards (tackle by Justin Bannan),-0.420,-0.870
1,1:10,3,7,PIT 20,0,3,Charlie Batch pass complete short middle to Isaac Redman for 5 yards (tackle by Darian Stewart and James Laurinaitis),-0.870,-1.700
1,0:40,4,2,PIT 25,0,3,"Jeremy Kapinos punts 49 yards, returned by Nick Miller for 17 yards (tackle by Ryan Mundy)",-1.700,-1.800
1,0:29,1,10,STL 43,0,3,Steven Jackson right guard for 4 yards,1.800,1.790
Quarter,Time,Down,ToGo,Location,STL,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,STL 47,0,3,"Penalty on Bryan Mattison: False Start, 5 yards (no play)",1.790,1.120
2,15:00,2,11,STL 42,0,3,Kellen Clemens pass complete short left to Lance Kendricks for 6 yards (tackle by Ryan Clark),1.120,1.220
2,14:29,3,5,STL 48,0,3,Kellen Clemens pass complete short right to Brandon Lloyd for 8 yards (tackle by Ike Taylor),1.220,2.650
2,13:49,1,10,PIT 44,0,3,Kellen Clemens pass incomplete deep right intended for Brandon Lloyd,2.650,2.110
2,13:43,2,10,PIT 44,0,3,Kellen Clemens pass incomplete short left intended for Brandon Lloyd,2.110,1.420
2,13:36,3,10,PIT 44,0,3,Kellen Clemens pass incomplete short middle intended for Danario Alexander (defended by Keenan Lewis),1.420,0.330
2,13:30,4,10,PIT 44,0,3,Donnie Jones right end for 9 yards (tackle by Antonio Brown),0.330,-1.270
2,13:21,1,10,PIT 35,0,3,Charlie Batch pass complete short middle to Hines Ward for 19 yards (tackle by Quintin Mikell),1.270,2.520
2,12:36,1,10,STL 46,0,3,Antonio Brown left tackle for 8 yards (tackle by James Laurinaitis),2.520,3.060
2,11:50,2,2,STL 38,0,3,Rashard Mendenhall up the middle for 4 yards (tackle by Gary Gibson),3.060,3.310
2,11:14,1,10,STL 34,0,3,Rashard Mendenhall right guard for 4 yards (tackle by Quintin Mikell),3.310,3.310
2,10:34,2,6,STL 30,0,3,Charlie Batch pass incomplete deep right intended for Antonio Brown is intercepted by Josh Gordy at STL-13 and returned for 7 yards (tackle by Antonio Brown),3.310,-0.280
2,10:25,1,10,STL 20,0,3,Cadillac Williams up the middle for no gain (tackle by William Gay and James Farrior),0.280,-0.270
