Unnamed: 0,STL,PIT
First Downs,15,17
Rush-Yds-TDs,36-164-0,28-169-3
Cmp-Att-Yd-TD-INT,9-24-91-0-0,15-22-208-0-1
Sacked-Yards,3-23,0-0
Net Pass Yards,68,208
Total Yards,232,377
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,4-21,7-50
Third Down Conv.,6-16,1-7
Fourth Down Conv.,0-1,0-0
Time of Possession,30:45,29:15
