Quarter,Time,Tm,Detail,DEN,TAM
1.0,3:01,Broncos,Patrick Hape 5 yard pass from Jake Plummer (Jason Elam kick),7,0
2.0,13:14,Broncos,Jason Elam 49 yard field goal,10,0
,10:50,Buccaneers,Michael Clayton 51 yard pass from Brad Johnson (Martin Gramatica kick),10,7
,5:32,Broncos,Jason Elam 50 yard field goal,13,7
,0:00,Buccaneers,Martin Gramatica 28 yard field goal,13,10
3.0,8:15,Buccaneers,Martin Gramatica 30 yard field goal,13,13
4.0,9:03,Broncos,Jason Elam 23 yard field goal,16,13
